ph_value,do_value,temp_value,salinity_value
9.0,9.64,29.6,434.0
9.1,9.66,29.6,373.3
9.3,9.66,29.5,349.8
9.0,9.66,29.6,348.0
9.1,9.67,29.5,316.3
9.0,9.67,29.5,307.6
8.7,9.68,29.5,292.1
8.9,9.67,29.5,321.5
8.8,9.63,29.6,472.5
9.2,9.64,29.6,436.0
9.1,9.67,29.6,321.5
9.0,9.64,29.5,418.4
8.8,9.65,29.6,384.4
9.0,9.67,29.5,302.4
9.0,9.64,29.5,422.3
9.2,9.66,29.6,364.2
9.2,9.64,29.5,418.4
9.0,9.61,29.6,519.7
9.0,9.67,29.5,307.6
9.0,9.63,29.6,452.0
9.0,9.62,29.5,468.3
8.9,9.6,29.6,577.5
9.0,9.65,29.5,386.2
9.2,9.64,29.6,420.4
9.0,9.65,29.6,391.8
9.0,9.67,29.5,305.9
8.9,9.67,29.5,307.6
8.9,9.67,29.5,307.6
9.2,9.65,29.5,393.7
8.9,9.68,29.5,293.8
8.9,9.64,29.5,414.6
8.8,9.67,29.5,304.1
8.9,9.67,29.5,325.0
8.8,9.66,29.5,349.8
9.3,9.67,29.5,318.0
8.8,9.68,29.5,286.9
9.1,9.67,29.5,326.8
8.8,9.65,29.5,391.8
9.1,9.68,29.6,309.3
8.8,9.67,29.5,300.7
9.2,9.62,29.6,495.7
8.6,9.68,29.5,286.9
8.8,9.66,29.6,358.8
9.2,9.68,29.6,302.4
8.6,9.68,29.5,293.8
9.1,9.67,29.5,307.6
9.0,9.61,29.6,519.7
8.9,9.68,29.5,286.9
9.2,9.67,29.5,305.9
9.2,9.65,29.5,367.8
8.8,9.66,29.5,335.6
9.1,9.66,29.5,357.0
9.0,9.64,29.6,416.5
9.3,9.66,29.5,333.8
8.8,9.63,29.6,452.0
8.9,9.61,29.6,556.1
9.2,9.66,29.6,364.2
9.3,9.67,29.5,307.6
9.1,9.65,29.5,377.0
9.1,9.63,29.6,480.8
8.8,9.59,29.6,604.4
8.9,9.61,29.6,558.4
9.1,9.62,29.6,508.7
9.2,9.66,29.5,337.3
9.0,9.66,29.6,360.6
8.6,9.68,29.5,288.6
8.8,9.64,29.5,410.8
9.1,9.66,29.5,335.6
9.3,9.66,29.5,332.0
9.1,9.66,29.6,357.0
8.2,9.54,29.8,826.2
8.9,9.68,29.5,293.8
8.8,9.68,29.5,286.9
9.0,9.68,29.5,288.6
9.0,9.67,29.5,302.4
9.3,9.68,29.6,295.5
9.0,9.63,29.6,474.5
9.3,9.66,29.5,333.8
9.0,9.66,29.5,337.3
9.1,9.62,29.6,506.5
9.3,9.67,29.6,321.5
9.1,9.64,29.5,406.9
8.8,9.64,29.5,420.4
8.6,9.68,29.5,286.9
8.9,9.6,29.6,556.1
9.1,9.63,29.5,456.0
8.7,9.63,29.6,464.2
9.0,9.68,29.5,286.9
9.0,9.68,29.5,293.8
9.3,9.67,29.5,302.4
8.9,9.65,29.6,397.5
9.3,9.67,29.6,326.8
9.1,9.66,29.5,349.8
9.3,9.66,29.5,348.0
9.3,9.67,29.5,323.2
8.6,9.68,29.5,286.9
9.3,9.67,29.5,321.5
8.8,9.68,29.5,290.4
8.9,9.61,29.6,549.1
9.2,9.68,29.6,297.2
8.8,9.68,29.5,293.8
9.1,9.67,29.6,325.0
9.0,9.61,29.6,526.4
8.9,9.68,29.5,293.8
8.8,9.64,29.5,432.1
8.9,9.64,29.6,444.0
8.9,9.67,29.5,307.6
9.2,9.6,29.6,597.0
9.1,9.64,29.6,434.0
8.8,9.64,29.6,420.4
9.1,9.67,29.5,323.2
8.9,9.61,29.6,558.4
9.0,9.61,29.6,544.5
9.0,9.62,29.6,513.0
8.9,9.67,29.6,326.8
8.7,9.64,29.6,440.0
8.8,9.66,29.5,340.9
9.2,9.67,29.5,305.9
9.0,9.61,29.6,530.9
9.0,9.61,29.6,524.1
9.0,9.68,29.5,295.5
8.8,9.62,29.6,493.5
9.3,9.67,29.5,325.0
8.9,9.68,29.5,285.2
9.1,9.65,29.5,380.7
9.2,9.61,29.6,530.9
8.9,9.68,29.5,293.8
9.0,9.62,29.6,500.0
8.9,9.63,29.5,436.0
9.2,9.63,29.6,460.1
8.9,9.67,29.5,319.8
9.0,9.68,29.5,286.9
9.1,9.67,29.5,321.5
8.9,9.6,29.6,553.8
8.7,9.68,29.5,286.9
9.1,9.66,29.6,367.8
8.8,9.61,29.6,524.1
9.2,9.64,29.6,434.0
8.4,9.68,29.5,293.8
9.2,9.68,29.5,293.8
9.1,9.62,29.6,502.1
8.8,9.66,29.5,340.9
9.3,9.67,29.5,325.0
9.2,9.68,29.6,293.8
8.8,9.67,29.5,300.7
9.1,9.66,29.5,357.0
8.9,9.66,29.5,344.4
9.1,9.62,29.6,487.1
9.2,9.65,29.6,391.8
8.9,9.67,29.5,318.0
9.3,9.67,29.5,297.2
8.9,9.68,29.5,286.9
9.2,9.64,29.6,424.3
8.8,9.67,29.5,304.1
8.9,9.6,29.6,567.9
8.9,9.67,29.5,318.0
9.2,9.66,29.6,371.5
9.0,9.67,29.5,305.9
9.3,9.66,29.5,339.1
8.9,9.66,29.5,333.8
8.5,9.68,29.5,288.6
9.0,9.63,29.6,460.1
9.2,9.67,29.5,302.4
9.1,9.68,29.5,293.8
9.0,9.68,29.6,293.8
9.0,9.63,29.6,464.2
8.8,9.67,29.6,344.4
9.0,9.62,29.5,493.5
9.2,9.65,29.5,369.7
8.4,9.68,29.5,292.1
9.1,9.68,29.5,288.6
9.2,9.63,29.6,466.3
8.8,9.65,29.5,367.8
8.9,9.66,29.5,357.0
9.0,9.68,29.5,295.5
9.2,9.62,29.6,500.0
8.8,9.68,29.6,297.2
9.0,9.66,29.6,367.8
8.9,9.68,29.5,286.9
9.0,9.66,29.6,367.8
9.0,9.66,29.6,364.2
8.7,9.68,29.5,293.8
9.2,9.66,29.5,340.9
9.3,9.66,29.5,333.8
8.4,9.68,29.5,288.6
9.1,9.67,29.5,309.3
8.8,9.65,29.6,391.8
8.8,9.61,29.6,539.9
9.2,9.62,29.6,510.9
8.8,9.65,29.5,388.1
9.2,9.64,29.5,420.4
9.2,9.62,29.6,493.5
9.1,9.68,29.5,293.8
9.0,9.62,29.6,508.7
8.8,9.62,29.6,510.9
9.0,9.65,29.5,388.1
8.8,9.61,29.6,517.5
8.3,9.54,29.8,829.6
9.0,9.61,29.6,542.2
9.0,9.63,29.6,462.2
8.9,9.67,29.6,316.3
8.8,9.67,29.5,302.4
9.2,9.66,29.5,346.2
9.3,9.65,29.5,397.5
9.1,9.62,29.6,487.1
9.1,9.67,29.5,316.3
8.9,9.63,29.5,442.0
9.0,9.62,29.6,528.6
9.0,9.64,29.6,416.5
9.0,9.61,29.6,563.2
9.2,9.68,29.6,295.5
8.8,9.66,29.5,340.9
8.8,9.64,29.6,418.4
9.0,9.67,29.6,319.8
8.9,9.65,29.6,397.5
9.2,9.67,29.5,302.4
9.3,9.64,29.5,406.9
8.8,9.64,29.5,422.3
8.9,9.67,29.6,318.0
8.9,9.6,29.6,556.1
9.1,9.67,29.5,325.0
8.9,9.67,29.6,335.6
9.2,9.65,29.5,378.8
9.3,9.67,29.5,311.0
9.0,9.66,29.6,358.8
9.2,9.6,29.6,599.5
9.1,9.68,29.5,295.5
8.9,9.66,29.6,358.8
8.8,9.68,29.5,295.5
9.2,9.66,29.6,349.8
9.2,9.67,29.5,302.4
8.8,9.64,29.6,446.0
9.3,9.67,29.5,316.3
9.0,9.67,29.6,344.4
9.2,9.65,29.5,386.2
9.2,9.64,29.5,412.7
8.4,9.68,29.5,288.6
8.6,9.61,29.6,565.5
8.9,9.63,29.6,454.0
8.8,9.61,29.6,530.9
9.2,9.64,29.6,448.0
8.9,9.67,29.5,314.5
8.8,9.63,29.5,462.2
8.8,9.65,29.5,391.8
9.1,9.67,29.5,297.2
9.0,9.62,29.6,491.4
8.9,9.61,29.6,560.8
9.0,9.65,29.6,382.5
8.8,9.64,29.6,426.2
9.1,9.67,29.5,302.4
8.8,9.67,29.5,302.4
8.8,9.68,29.5,288.6
8.9,9.68,29.5,290.4
8.9,9.61,29.6,560.8
9.1,9.67,29.6,319.8
9.0,9.66,29.6,371.5
8.4,9.68,29.5,288.6
9.3,9.67,29.6,346.2
8.9,9.67,29.5,321.5
8.8,9.68,29.5,292.1
8.7,9.68,29.5,292.1
8.7,9.68,29.5,290.4
9.3,9.64,29.5,410.8
8.8,9.62,29.6,491.4
8.6,9.68,29.5,293.8
8.9,9.68,29.5,293.8
8.8,9.66,29.5,335.6
8.6,9.68,29.5,290.4
8.8,9.66,29.5,362.4
9.1,9.64,29.5,406.9
9.0,9.66,29.6,362.4
8.9,9.6,29.6,575.0
9.0,9.61,29.6,539.9
8.9,9.67,29.5,321.5
9.2,9.62,29.6,491.4
9.0,9.65,29.6,412.7
9.0,9.66,29.6,362.4
9.1,9.68,29.5,292.1
8.4,9.68,29.5,288.6
9.2,9.68,29.6,295.5
8.6,9.68,29.5,286.9
8.9,9.68,29.5,293.8
9.0,9.68,29.5,295.5
9.1,9.67,29.5,307.6
8.6,9.68,29.5,292.1
9.1,9.67,29.6,318.0
8.8,9.64,29.6,448.0
9.0,9.63,29.5,462.2
9.2,9.61,29.6,533.1
8.7,9.68,29.5,293.8
9.0,9.61,29.6,560.8
9.1,9.67,29.5,311.0
8.8,9.67,29.6,346.2
9.1,9.67,29.6,328.5
8.7,9.68,29.5,288.6
9.1,9.67,29.5,304.1
9.1,9.62,29.6,489.3
8.9,9.65,29.6,380.7
9.2,9.61,29.6,519.7
9.1,9.67,29.5,300.7
8.7,9.64,29.6,444.0
8.9,9.68,29.6,305.9
9.3,9.66,29.6,348.0
9.1,9.68,29.5,286.9
8.9,9.68,29.5,288.6
9.0,9.64,29.6,420.4
9.1,9.67,29.5,309.3
8.9,9.68,29.5,292.1
9.0,9.66,29.5,357.0
9.0,9.61,29.6,537.7
9.2,9.67,29.5,304.1
9.1,9.68,29.5,293.8
8.8,9.67,29.6,344.4
8.8,9.65,29.5,390.0
9.1,9.68,29.6,304.1
9.0,9.63,29.6,476.6
9.1,9.6,29.6,579.9
9.2,9.65,29.6,393.7
9.0,9.67,29.6,316.3
9.3,9.66,29.6,377.0
8.8,9.68,29.6,305.9
8.6,9.68,29.5,286.9
9.1,9.65,29.5,369.7
8.8,9.66,29.5,339.1
8.7,9.68,29.5,293.8
9.0,9.62,29.6,513.0
8.9,9.61,29.6,526.4
9.0,9.68,29.5,295.5
9.1,9.6,29.6,582.3
9.2,9.61,29.6,517.5
8.8,9.65,29.6,386.2
9.1,9.66,29.6,378.8
9.0,9.68,29.6,304.1
9.1,9.67,29.6,319.8
8.9,9.67,29.5,307.6
9.0,9.67,29.5,299.0
9.3,9.68,29.6,311.0
8.9,9.67,29.5,307.6
9.3,9.67,29.5,307.6
9.2,9.66,29.5,339.1
9.0,9.65,29.5,386.2
8.8,9.68,29.5,293.8
