ph_value,do_value,temp_value,salinity_value
4.7,9.37,29.5,1345.3
6.3,9.38,29.4,1284.4
5.0,9.37,29.4,1329.8
4.8,9.37,29.5,1345.3
6.2,9.38,29.4,1274.5
4.3,9.37,29.4,1329.8
4.6,9.37,29.4,1309.4
6.8,9.39,29.5,1274.5
8.1,9.38,29.4,1284.4
5.0,9.38,29.4,1299.4
6.6,9.39,29.5,1274.5
5.7,9.38,29.5,1314.5
4.0,9.37,29.6,1355.7
5.8,9.38,29.4,1279.4
4.2,9.37,29.6,1350.5
4.8,9.37,29.4,1324.7
5.4,9.37,29.4,1329.8
5.3,9.37,29.5,1345.3
5.7,9.38,29.5,1314.5
6.2,9.38,29.5,1314.5
7.9,9.38,29.4,1279.4
4.3,9.37,29.5,1345.3
5.7,9.37,29.4,1314.5
4.9,9.37,29.5,1350.5
4.1,9.37,29.5,1345.3
4.3,9.37,29.5,1345.3
6.3,9.38,29.4,1279.4
6.5,9.39,29.5,1284.4
7.7,9.38,29.4,1284.4
4.3,9.37,29.5,1345.3
5.2,9.36,29.5,1366.2
5.7,9.38,29.5,1314.5
6.7,9.39,29.5,1274.5
5.2,9.37,29.5,1345.3
5.8,9.38,29.5,1319.6
4.6,9.37,29.5,1340.1
4.7,9.37,29.5,1345.3
4.8,9.37,29.4,1340.1
4.9,9.37,29.4,1324.7
4.9,9.36,29.4,1350.5
5.8,9.38,29.5,1314.5
10.5,9.39,29.6,1299.4
4.4,9.37,29.4,1314.5
6.3,9.39,29.5,1279.4
4.9,9.38,29.4,1304.4
4.9,9.37,29.5,1335.0
6.6,9.39,29.5,1274.5
4.3,9.37,29.5,1345.3
4.0,9.37,29.5,1345.3
5.9,9.38,29.4,1299.4
6.7,9.38,29.4,1279.4
3.8,9.37,29.5,1345.3
6.8,9.39,29.4,1269.5
5.0,9.37,29.4,1324.7
6.0,9.38,29.5,1299.4
6.3,9.38,29.4,1279.4
3.3,9.38,29.5,1299.4
4.8,9.36,29.5,1371.4
5.2,9.37,29.4,1340.1
5.9,9.38,29.5,1299.4
5.8,9.37,29.4,1309.4
5.5,9.37,29.5,1350.5
4.3,9.37,29.5,1345.3
7.7,9.38,29.4,1284.4
7.3,9.8,30.8,212.2
4.2,9.37,29.5,1350.5
6.2,9.38,29.4,1289.3
6.1,9.38,29.4,1294.3
5.3,9.36,29.5,1355.7
6.3,9.39,29.5,1279.4
6.2,9.38,29.5,1294.3
7.7,9.8,30.7,212.2
9.8,9.63,29.8,542.2
4.7,9.36,29.5,1366.2
4.9,9.36,29.5,1376.7
6.3,9.38,29.4,1279.4
6.4,9.39,29.5,1279.4
4.0,9.37,29.5,1345.3
6.0,9.38,29.4,1299.4
6.7,9.38,29.4,1274.5
8.9,9.58,29.7,650.9
6.0,9.38,29.4,1299.4
4.3,9.37,29.5,1345.3
5.0,9.38,29.5,1314.5
4.5,9.37,29.5,1345.3
6.2,9.38,29.4,1279.4
4.7,9.37,29.4,1335.0
7.4,9.38,29.4,1274.5
4.3,9.37,29.5,1345.3
4.9,9.36,29.5,1371.4
5.7,9.38,29.5,1314.5
4.4,9.37,29.5,1345.3
4.3,9.37,29.5,1345.3
7.4,9.39,29.5,1274.5
6.3,9.38,29.4,1284.4
4.5,9.37,29.5,1345.3
4.8,9.37,29.5,1345.3
10.2,9.38,29.5,1299.4
3.2,9.39,29.6,1299.4
4.4,9.36,29.5,1355.7
4.3,9.37,29.5,1345.3
3.9,9.37,29.6,1360.9
6.3,9.39,29.5,1279.4
5.9,9.38,29.4,1299.4
6.3,9.39,29.5,1279.4
4.4,9.37,29.5,1345.3
4.8,9.36,29.5,1371.4
4.8,9.37,29.4,1329.8
6.1,9.38,29.5,1289.3
7.0,9.38,29.4,1274.5
6.3,9.38,29.4,1279.4
7.5,9.38,29.4,1279.4
6.3,9.38,29.4,1279.4
6.0,9.38,29.5,1299.4
3.7,9.36,29.5,1355.7
5.9,9.38,29.5,1299.4
4.9,9.36,29.5,1376.7
4.8,9.36,29.5,1366.2
10.0,9.71,29.9,256.3
5.8,9.38,29.5,1304.4
5.3,9.37,29.5,1350.5
7.1,9.38,29.4,1279.4
4.8,9.36,29.5,1371.4
5.6,9.37,29.5,1345.3
5.9,9.38,29.4,1299.4
6.3,9.38,29.4,1279.4
4.8,9.36,29.5,1376.7
7.5,9.8,30.7,212.2
4.4,9.37,29.5,1329.8
4.3,9.37,29.5,1345.3
4.8,9.37,29.4,1314.5
4.6,9.36,29.4,1345.3
4.1,9.37,29.5,1345.3
6.2,9.38,29.4,1284.4
4.6,9.37,29.5,1345.3
5.0,9.36,29.5,1371.4
5.6,9.37,29.5,1345.3
6.0,9.38,29.5,1299.4
6.5,9.38,29.4,1274.5
4.3,9.37,29.5,1345.3
5.0,9.38,29.5,1319.6
4.5,9.37,29.5,1345.3
5.2,9.37,29.4,1340.1
4.4,9.37,29.5,1345.3
5.7,9.37,29.4,1314.5
5.2,9.36,29.5,1376.7
4.4,9.37,29.5,1345.3
6.6,9.39,29.5,1274.5
5.3,9.37,29.5,1350.5
4.7,9.37,29.5,1340.1
