ph_value,do_value,temp_value,salinity_value
6.9,9.66,28.9,227.5
6.7,9.66,28.9,232.6
7.2,9.66,28.9,225.8
9.9,9.65,28.9,224.1
9.2,9.65,28.9,230.9
7.5,9.66,28.9,225.8
9.7,9.65,28.9,224.1
9.4,9.65,28.9,227.5
9.9,9.65,28.9,224.1
8.5,9.66,28.9,227.5
9.8,9.65,28.9,224.1
9.6,9.65,28.9,224.1
9.8,9.65,28.9,224.1
6.8,9.66,28.9,227.5
9.5,9.66,28.9,227.5
6.8,9.65,28.9,225.8
9.0,9.66,28.9,230.9
6.8,9.66,28.9,225.8
7.7,9.66,28.9,225.8
8.7,9.66,28.9,229.2
7.0,9.66,28.9,227.5
6.8,9.65,28.9,227.5
7.9,9.66,28.9,227.5
9.6,9.66,28.9,227.5
9.7,9.65,28.9,224.1
9.7,9.65,28.9,224.1
6.8,9.65,28.9,225.8
7.3,9.66,28.9,225.8
9.9,9.65,28.9,224.1
6.8,9.65,28.9,227.5
8.6,9.66,28.9,229.2
8.5,9.66,28.9,234.2
8.3,9.66,28.9,227.5
7.8,9.66,28.9,225.8
7.6,9.66,28.9,225.8
6.8,9.65,28.9,225.8
8.2,9.65,28.9,227.5
6.8,9.65,28.9,225.8
6.9,9.66,28.9,227.5
7.0,9.66,28.9,227.5
6.7,9.65,28.9,225.8
7.8,9.66,28.9,225.8
7.9,9.66,28.9,227.5
6.7,9.66,28.9,225.8
6.9,9.66,28.9,227.5
9.7,9.65,28.9,224.1
6.8,9.65,28.9,227.5
6.5,9.66,28.9,224.1
6.8,9.65,28.9,227.5
9.6,9.65,28.9,224.1
6.7,9.66,28.9,227.5
8.5,9.65,28.9,227.5
9.6,9.65,28.9,227.5
8.4,9.66,28.9,227.5
7.1,9.66,28.9,227.5
6.8,9.65,28.9,227.5
9.9,9.66,28.9,224.1
6.7,9.66,28.9,227.5
9.9,9.65,28.9,224.1
8.6,9.65,28.9,230.9
9.4,9.66,28.9,227.5
9.4,9.65,28.9,227.5
9.7,9.66,28.9,224.1
7.4,9.66,28.9,225.8
6.8,9.65,28.9,227.5
9.9,9.65,28.9,224.1
8.9,9.66,28.9,234.2
6.7,9.66,28.9,230.9
7.3,9.66,28.9,225.8
9.7,9.65,28.9,224.1
9.9,9.65,28.9,224.1
6.7,9.66,28.9,225.8
9.6,9.66,28.9,227.5
7.7,9.66,28.9,225.8
6.8,9.66,28.9,225.8
6.6,9.66,28.9,229.2
6.5,9.66,28.9,232.6
9.4,9.65,28.9,225.8
9.7,9.65,28.9,224.1
9.6,9.65,28.9,224.1
9.4,9.65,28.9,227.5
9.6,9.65,28.9,224.1
9.6,9.65,28.9,224.1
6.9,9.66,28.9,227.5
7.6,9.66,28.9,225.8
9.8,9.65,28.9,224.1
6.7,9.65,28.9,227.5
6.8,9.65,28.9,227.5
9.9,9.65,28.9,224.1
9.8,9.65,28.9,224.1
6.9,9.65,28.9,227.5
9.6,9.66,28.9,227.5
7.5,9.66,28.9,225.8
7.0,9.66,28.9,227.5
6.8,9.65,28.9,227.5
6.8,9.65,28.9,227.5
6.8,9.65,28.9,227.5
9.6,9.65,28.9,224.1
7.1,9.66,28.9,227.5
9.6,9.65,28.9,224.1
6.8,9.66,28.9,227.5
9.8,9.65,28.9,224.1
7.9,9.65,28.9,225.8
8.0,9.65,28.9,227.5
9.8,9.65,28.9,224.1
6.9,9.65,28.9,225.8
7.4,9.66,28.9,225.8
6.7,9.66,28.9,229.2
9.6,9.65,28.9,224.1
6.7,9.65,28.9,227.5
6.7,9.66,28.9,229.2
6.8,9.65,28.9,227.5
6.6,9.66,28.9,227.5
9.9,9.65,28.9,224.1
6.8,9.65,28.9,227.5
9.6,9.65,28.9,224.1
9.8,9.65,28.9,224.1
9.6,9.65,28.9,224.1
9.7,9.66,28.9,227.5
7.1,9.66,28.9,227.5
8.3,9.66,28.9,227.5
6.8,9.65,28.9,227.5
8.9,9.66,28.9,230.9
9.4,9.65,28.9,229.2
8.9,9.66,28.9,230.9
9.7,9.65,28.9,224.1
6.8,9.66,28.9,227.5
7.5,9.66,28.9,225.8
7.5,9.66,28.9,225.8
6.8,9.65,28.9,227.5
7.8,9.65,28.9,225.8
6.7,9.65,28.9,225.8
8.8,9.66,28.9,234.2
6.9,9.66,28.9,227.5
6.5,9.66,28.9,225.8
9.2,9.65,28.9,229.2
6.7,9.65,28.9,225.8
7.1,9.66,28.9,225.8
9.9,9.65,28.9,224.1
7.0,9.66,28.9,227.5
8.8,9.65,28.9,234.2
9.6,9.65,28.9,224.1
9.8,9.65,28.9,224.1
6.9,9.65,28.9,225.8
9.6,9.65,28.9,224.1
6.8,9.65,28.9,227.5
9.9,9.65,28.9,224.1
9.2,9.65,28.9,229.2
9.5,9.65,28.9,227.5
6.7,9.65,28.9,225.8
7.0,9.66,28.9,227.5
6.7,9.66,28.9,227.5
7.3,9.66,28.9,222.4
7.2,9.66,28.9,225.8
9.9,9.65,28.9,224.1
7.2,9.66,28.9,225.8
9.6,9.65,28.9,224.1
7.9,9.66,28.9,225.8
7.2,9.66,28.9,227.5
6.8,9.66,28.9,227.5
7.0,9.66,28.9,227.5
8.8,9.66,28.9,230.9
6.8,9.65,28.9,227.5
6.8,9.65,28.9,227.5
6.9,9.66,28.9,227.5
8.6,9.66,28.9,234.2
9.6,9.65,28.9,224.1
8.9,9.65,28.9,230.9
9.8,9.65,28.9,224.1
9.4,9.65,28.9,227.5
6.8,9.66,28.9,227.5
9.4,9.66,28.9,227.5
8.6,9.66,28.9,229.2
6.7,9.66,28.9,227.5
7.2,9.66,28.9,225.8
6.7,9.66,28.9,227.5
7.2,9.66,28.9,225.8
6.8,9.65,28.9,227.5
8.4,9.65,28.9,227.5
9.6,9.65,28.9,224.1
6.9,9.66,28.9,227.5
9.6,9.66,28.9,227.5
6.7,9.65,28.9,225.8
9.2,9.66,28.9,229.2
9.9,9.65,28.9,224.1
9.6,9.65,28.9,224.1
9.6,9.65,28.9,224.1
8.5,9.66,28.9,232.6
9.6,9.66,28.9,227.5
8.0,9.66,28.9,227.5
8.6,9.66,28.9,229.2
8.7,9.66,28.9,234.2
6.9,9.66,28.9,227.5
7.4,9.66,28.9,225.8
6.6,9.66,28.9,229.2
7.1,9.65,28.9,227.5
7.0,9.66,28.9,227.5
9.9,9.65,28.9,224.1
9.6,9.65,28.9,227.5
6.6,9.66,28.9,230.9
6.9,9.66,28.9,227.5
9.8,9.65,28.9,224.1
7.0,9.66,28.9,227.5
9.8,9.65,28.9,224.1
9.9,9.65,28.9,224.1
9.8,9.65,28.9,224.1
9.5,9.65,28.9,227.5
6.8,9.65,28.9,227.5
7.6,9.65,28.9,225.8
6.6,9.66,28.9,232.6
6.8,9.65,28.9,227.5
9.6,9.65,28.9,224.1
6.8,9.65,28.9,227.5
6.7,9.65,28.9,227.5
6.7,9.66,28.9,232.6
8.5,9.66,28.9,227.5
6.8,9.66,28.9,227.5
9.8,9.65,28.9,224.1
9.6,9.65,28.9,224.1
6.7,9.66,28.9,225.8
6.8,9.66,28.9,227.5
6.6,9.66,28.9,232.6
6.9,9.66,28.9,227.5
6.7,9.66,28.9,227.5
6.7,9.66,28.9,227.5
6.8,9.66,28.9,227.5
9.6,9.65,28.9,224.1
7.2,9.66,28.9,225.8
6.8,9.65,28.9,227.5
9.1,9.66,28.9,230.9
9.9,9.65,28.9,224.1
9.4,9.66,28.9,227.5
6.7,9.65,28.9,227.5
9.1,9.66,28.9,230.9
8.0,9.66,28.9,227.5
7.4,9.66,28.9,225.8
7.3,9.66,28.9,225.8
9.9,9.65,28.9,224.1
9.7,9.65,28.9,224.1
6.8,9.65,28.9,225.8
9.9,9.65,28.9,224.1
7.6,9.65,28.9,225.8
9.6,9.65,28.9,224.1
7.4,9.66,28.9,225.8
9.3,9.65,28.9,229.2
7.8,9.66,28.9,225.8
9.7,9.65,28.9,224.1
9.6,9.65,28.9,224.1
9.9,9.65,28.9,224.1
7.8,9.66,28.9,225.8
8.9,9.66,28.9,230.9
7.5,9.65,28.9,225.8
9.6,9.65,28.9,224.1
9.9,9.65,28.9,224.1
6.8,9.65,28.9,227.5
9.6,9.65,28.9,224.1
6.8,9.65,28.9,227.5
6.6,9.66,28.9,224.1
9.4,9.66,28.9,227.5
