ph_value,status,do_value,temp_value,salinity_value
9.4,True,9.62,27.8,136.0
9.5,True,9.61,27.8,165.9
6.7,True,9.62,27.9,169.4
7.2,True,9.62,27.9,174.5
13.4,True,9.62,27.8,136.0
9.6,True,9.62,27.8,165.9
6.7,True,9.62,27.9,171.1
6.6,True,9.62,27.9,171.1
9.7,True,9.62,27.8,165.9
9.5,True,9.62,27.8,165.9
6.9,True,9.62,27.9,169.4
6.8,True,9.62,27.9,172.8
6.5,True,9.62,27.9,171.1
6.8,True,9.62,27.9,172.8
6.8,True,9.62,27.9,171.1
6.4,True,9.62,27.9,172.8
6.2,True,9.62,27.9,172.8
7.1,True,9.62,27.9,172.8
9.5,True,9.62,27.8,165.9
6.8,True,9.62,27.9,171.1
6.8,True,9.62,27.9,171.1
6.8,True,9.62,27.9,174.5
6.3,True,9.62,27.9,169.4
7.1,True,9.62,27.9,172.8
9.6,True,9.62,27.8,162.4
9.7,True,9.61,27.8,164.1
9.6,True,9.62,27.8,162.4
6.7,True,9.62,27.9,171.1
6.9,True,9.62,27.9,174.5
6.8,True,9.62,27.9,172.8
6.4,True,9.62,27.9,172.8
6.6,True,9.62,27.9,171.1
6.8,True,9.62,27.9,169.4
9.4,True,9.62,27.8,134.2
7.5,True,9.62,27.9,165.9
6.8,True,9.62,27.9,174.5
6.9,True,9.62,27.9,172.8
7.0,True,9.62,27.9,174.5
6.4,True,9.62,27.9,172.8
6.9,True,9.62,27.9,172.8
6.3,True,9.61,27.8,171.1
6.6,True,9.62,27.9,171.1
9.6,True,9.62,27.8,165.9
7.1,True,9.62,27.9,172.8
11.9,True,9.62,27.8,143.1
6.9,True,9.62,27.9,174.5
12.4,True,9.62,27.8,136.0
6.3,True,9.61,27.8,169.4
7.1,True,9.62,27.9,172.8
6.4,True,9.62,27.9,171.1
6.1,True,9.61,27.8,167.6
6.8,True,9.62,27.9,174.5
7.0,True,9.62,27.9,172.8
5.8,True,9.62,27.8,165.9
6.8,True,9.62,27.9,171.1
7.1,True,9.62,27.9,172.8
6.9,True,9.62,27.9,171.1
6.8,True,9.62,27.9,171.1
9.7,True,9.62,27.8,164.1
9.8,True,9.62,27.8,165.9
9.4,True,9.0,27.8,134.2
6.9,True,9.62,27.9,174.5
6.6,True,9.62,27.8,165.9
6.2,True,9.62,27.9,167.6
6.5,True,9.62,27.9,172.8
6.9,True,9.62,27.9,171.1
6.9,True,9.62,27.9,172.8
6.6,True,9.62,27.9,171.1
6.4,True,9.62,27.9,171.1
6.8,True,9.61,27.8,169.4
6.2,True,9.61,27.8,167.6
6.6,True,9.61,27.8,171.1
6.5,True,9.62,27.8,165.9
6.8,True,9.62,27.9,174.5
9.3,True,9.62,27.8,134.2
6.7,True,9.62,27.9,172.8
6.5,True,9.62,27.9,171.1
6.9,True,9.62,27.9,172.8
6.9,True,9.62,27.9,174.5
6.6,True,9.62,27.9,169.4
6.7,True,9.62,27.9,172.8
6.6,True,9.62,27.9,174.5
6.3,True,9.62,27.9,172.8
6.7,True,9.62,27.9,174.5
7.0,True,9.62,27.9,171.1
12.2,True,9.62,27.8,139.6
6.2,True,9.62,27.9,172.8
7.0,True,9.62,27.9,174.5
9.5,True,9.62,27.9,165.9
6.5,True,9.62,27.8,165.9
6.9,True,9.62,27.9,172.8
6.9,True,9.62,27.9,172.8
6.4,True,9.62,27.8,165.9
6.9,True,9.62,27.9,174.5
9.4,True,9.61,27.8,167.6
9.6,True,9.62,27.8,164.1
13.5,True,9.62,27.8,136.0
7.1,True,9.62,27.9,172.8
7.0,True,9.62,27.9,174.5
6.4,True,9.61,27.8,171.1
7.1,True,9.62,27.9,172.8
9.5,True,9.62,27.9,162.4
6.2,True,9.62,27.9,169.4
9.5,True,9.62,27.8,165.9
6.9,True,9.62,27.9,174.5
9.7,True,9.61,27.8,164.1
6.6,True,9.61,27.8,171.1
9.2,True,9.62,27.8,134.2
6.5,True,9.62,27.9,172.8
10.1,True,9.62,27.8,162.4
10.0,True,9.62,27.8,165.9
9.5,True,9.62,27.8,164.1
6.9,True,9.62,27.9,171.1
7.1,True,9.62,27.9,172.8
7.0,True,9.62,27.9,174.5
9.6,True,9.62,27.8,165.9
6.8,True,9.62,27.9,174.5
7.1,True,9.62,27.9,172.8
13.0,True,9.62,27.8,136.0
6.2,True,9.62,27.9,171.1
6.2,True,9.62,27.9,171.1
6.7,True,9.62,27.9,174.5
6.5,True,9.62,27.8,165.9
6.9,True,9.62,27.9,172.8
5.9,True,9.62,27.8,165.9
9.6,True,9.61,27.8,165.9
9.6,True,9.62,27.8,165.9
7.1,True,9.61,27.8,169.4
6.9,True,9.62,27.9,174.5
6.5,True,9.62,27.8,165.9
6.7,True,9.62,27.9,172.8
6.8,True,9.62,27.9,174.5
7.2,True,9.62,27.9,174.5
7.0,True,9.62,27.9,174.5
6.8,True,9.62,27.9,172.8
6.5,True,9.62,27.9,171.1
6.6,True,9.62,27.9,171.1
6.6,True,9.62,27.9,171.1
6.7,True,9.62,27.9,171.1
6.6,True,9.62,27.9,171.1
9.8,True,9.61,27.8,167.6
6.9,True,9.62,27.9,171.1
7.1,True,9.62,27.8,165.9
7.0,True,9.62,27.9,174.5
6.6,True,9.62,27.9,171.1
7.1,True,9.62,27.9,174.5
6.2,True,9.62,27.9,172.8
7.2,True,9.62,27.9,174.5
6.5,True,9.62,27.9,171.1
11.6,True,9.62,27.8,143.1
7.0,True,9.62,27.9,172.8
6.9,True,9.62,27.9,171.1
7.6,True,9.61,27.8,167.6
6.7,True,9.62,27.9,174.5
6.6,True,9.62,27.9,169.4
6.8,True,9.61,27.8,171.1
7.0,True,9.62,27.9,172.8
6.4,True,9.61,27.8,167.6
7.1,True,9.61,27.8,171.1
6.4,True,9.62,27.9,171.1
6.7,True,9.62,27.9,174.5
7.1,True,9.61,27.8,169.4
6.8,True,9.62,27.9,174.5
6.9,True,9.62,27.9,172.8
6.8,True,9.62,27.9,174.5
6.5,True,9.62,27.9,171.1
6.1,True,9.62,27.9,172.8
6.6,True,9.62,27.9,171.1
6.9,True,9.62,27.9,172.8
11.6,True,9.62,27.8,143.1
6.7,True,9.62,27.9,174.5
6.6,True,9.62,27.9,169.4
7.0,True,9.62,27.9,174.5
6.6,True,9.62,27.9,171.1
6.6,True,9.62,27.9,171.1
7.5,True,9.62,27.9,165.9
6.7,True,9.62,27.9,172.8
6.6,True,9.62,27.9,171.1
7.0,True,9.62,27.9,171.1
7.1,True,9.62,27.9,174.5
6.8,True,9.62,27.9,174.5
7.9,True,9.61,27.8,167.6
6.5,True,9.62,27.9,171.1
7.1,True,9.62,27.9,174.5
6.3,True,9.62,27.9,169.4
7.0,True,9.62,27.9,174.5
10.1,True,9.62,27.8,153.7
6.5,True,9.62,27.9,171.1
6.1,True,9.62,27.9,171.1
6.4,True,9.61,27.8,167.6
9.4,True,9.62,27.8,134.2
6.4,True,9.62,27.8,165.9
6.8,True,9.62,27.9,172.8
6.7,True,9.62,27.9,174.5
9.6,True,9.62,27.8,165.9
6.8,True,9.62,27.9,172.8
6.6,True,9.62,27.9,172.8
6.9,True,9.62,27.9,174.5
10.3,True,9.62,27.8,146.6
6.9,True,9.62,27.9,171.1
7.1,True,9.62,27.9,172.8
6.9,True,9.62,27.9,174.5
6.8,True,9.62,27.9,174.5
6.8,True,9.62,27.9,174.5
7.1,True,9.62,27.9,174.5
6.6,True,9.62,27.9,171.1
6.9,True,9.62,27.9,174.5
9.8,True,9.62,27.8,165.9
6.4,True,9.62,27.9,171.1
6.7,True,9.62,27.9,174.5
6.9,True,9.62,27.9,171.1
7.0,True,9.62,27.9,172.8
6.0,True,9.62,27.9,167.6
6.7,True,9.62,27.9,174.5
6.9,True,9.62,27.9,174.5
7.2,True,9.62,27.9,174.5
7.6,True,9.61,27.8,167.6
6.5,True,9.62,27.9,171.1
7.0,True,9.62,27.9,172.8
6.6,True,9.62,27.9,172.8
6.7,True,9.62,27.9,171.1
9.7,True,9.62,27.8,165.9
7.1,True,9.62,27.9,174.5
9.5,True,9.61,27.8,167.6
11.7,True,9.62,27.8,143.1
6.9,True,9.62,27.9,174.5
6.5,True,9.62,27.9,171.1
7.7,True,9.61,27.8,167.6
9.9,True,9.62,27.8,164.1
6.9,True,9.62,27.9,172.8
6.8,True,9.62,27.9,172.8
6.9,True,9.62,27.9,174.5
9.6,True,9.62,27.8,162.4
6.7,True,9.62,27.9,171.1
6.4,True,9.62,27.9,171.1
9.6,True,9.62,27.8,164.1
9.0,True,9.62,27.8,134.2
6.4,True,9.62,27.9,172.8
6.0,True,9.62,27.8,165.9
9.7,True,9.62,27.8,164.1
9.5,True,9.61,27.8,167.6
9.7,True,9.61,27.8,167.6
5.8,True,9.62,27.9,165.9
7.2,True,9.62,27.9,171.1
10.0,True,9.62,27.8,164.1
6.5,True,9.62,27.9,171.1
6.3,True,9.62,27.9,171.1
6.6,True,9.62,27.9,171.1
11.9,True,9.62,27.8,143.1
7.0,True,9.62,27.9,172.8
6.9,True,9.62,27.9,174.5
6.8,True,9.62,27.9,172.8
9.9,True,9.62,27.8,165.9
6.7,True,9.62,27.9,174.5
6.2,True,9.62,27.9,171.1
9.8,True,9.62,27.8,165.9
6.7,True,9.62,27.9,171.1
9.6,True,9.62,27.8,162.4
9.8,True,9.62,27.8,165.9
6.8,True,9.62,27.9,172.8
6.6,True,9.62,27.9,171.1
6.6,True,9.62,27.9,169.4
6.6,True,9.62,27.9,172.8
6.6,True,9.62,27.9,169.4
7.2,True,9.62,27.9,174.5
7.0,True,9.62,27.9,172.8
6.3,True,9.61,27.8,171.1
6.2,True,9.62,27.9,165.9
6.5,True,9.62,27.9,171.1
6.2,True,9.62,27.9,171.1
6.7,True,9.62,27.9,171.1
9.6,True,9.62,27.8,165.9
6.8,True,9.62,27.9,171.1
6.8,True,9.62,27.9,172.8
6.8,True,9.62,27.9,172.8
9.6,True,9.62,27.8,165.9
9.6,True,9.62,27.8,165.9
6.0,True,9.62,27.9,167.6
6.9,True,9.62,27.9,174.5
6.7,True,9.62,27.9,171.1
6.5,True,9.62,27.9,171.1
7.2,True,9.62,27.9,172.8
6.7,True,9.62,27.9,172.8
7.2,True,9.62,27.9,172.8
6.7,True,9.62,27.9,172.8
6.7,True,9.62,27.9,174.5
6.6,True,9.62,27.9,174.5
7.3,True,9.62,27.9,172.8
6.9,True,9.61,27.8,171.1
6.7,True,9.62,27.9,172.8
6.9,True,9.62,27.9,172.8
8.0,True,9.61,27.8,167.6
6.7,True,9.62,27.9,174.5
7.0,True,9.62,27.9,172.8
11.8,True,9.62,27.8,143.1
6.7,True,9.62,27.9,172.8
6.7,True,9.61,27.8,169.4
6.7,True,9.62,27.9,172.8
9.8,True,9.62,27.8,165.9
7.0,True,9.62,27.9,174.5
10.3,True,9.62,27.8,146.6
12.3,True,9.62,27.8,136.0
7.6,True,9.62,27.8,165.9
6.8,True,9.62,27.9,172.8
6.2,True,9.62,27.9,167.6
9.7,True,9.62,27.8,164.1
6.5,True,9.62,27.9,172.8
6.5,True,9.62,27.8,165.9
6.7,True,9.62,27.9,172.8
6.6,True,9.62,27.9,172.8
6.9,True,9.62,27.9,172.8
9.8,True,9.62,27.8,165.9
7.2,True,9.62,27.9,169.4
7.0,True,9.62,27.9,174.5
6.1,True,9.61,27.8,167.6
9.7,True,9.62,27.8,162.4
6.8,True,9.62,27.9,174.5
6.3,True,9.62,27.9,169.4
6.9,True,9.62,27.9,172.8
6.7,True,9.62,27.9,172.8
6.6,True,9.62,27.9,171.1
13.2,True,9.62,27.8,136.0
7.1,True,9.61,27.8,171.1
6.4,True,9.62,27.8,165.9
9.5,True,9.62,27.8,162.4
6.0,True,9.62,27.8,165.9
6.4,True,9.62,27.9,171.1
6.6,True,9.62,27.9,171.1
7.1,True,9.62,27.9,174.5
8.9,True,9.61,27.8,167.6
6.7,True,9.62,27.9,172.8
5.9,True,9.62,27.9,167.6
6.8,True,9.62,27.9,174.5
6.3,True,9.62,27.9,171.1
6.0,True,9.62,27.9,167.6
12.7,True,9.62,27.8,136.0
6.7,True,9.62,27.9,174.5
6.9,True,9.62,27.9,169.4
9.7,True,9.62,27.8,165.9
6.8,True,9.62,27.9,172.8
9.9,True,9.62,27.8,165.9
6.0,True,9.62,27.9,167.6
6.6,True,9.61,27.8,169.4
9.6,True,9.62,27.8,162.4
7.0,True,9.62,27.9,174.5
7.1,True,9.62,27.9,174.5
9.5,True,9.62,27.8,165.9
9.5,True,9.62,27.8,165.9
6.8,True,9.62,27.9,172.8
6.3,True,9.62,27.9,172.8
12.7,True,9.62,27.8,137.8
6.9,True,9.62,27.9,174.5
6.5,True,9.62,27.9,171.1
6.4,True,9.62,27.9,171.1
6.3,True,9.61,27.8,171.1
7.2,True,9.62,27.9,172.8
6.4,True,9.62,27.9,172.8
9.6,True,9.62,27.8,162.4
6.9,True,9.62,27.9,174.5
7.1,True,9.61,27.8,171.1
