ph_value,status,do_value,temp_value,salinity_value
12.4,True,9.61,29.0,420.4
12.4,True,9.6,28.9,426.2
12.4,True,9.6,29.0,426.2
12.6,True,9.6,28.9,422.3
12.7,True,9.61,29.0,420.4
6.9,True,9.62,29.0,384.4
9.3,True,9.59,28.9,462.2
12.7,True,9.6,28.9,422.3
12.8,True,9.6,28.9,424.3
13.3,True,9.6,29.0,440.0
12.6,True,9.6,28.9,424.3
12.6,True,9.6,29.0,424.3
10.9,True,9.6,29.0,448.0
12.9,True,9.6,28.9,422.3
11.2,True,9.59,28.9,448.0
12.8,True,9.61,29.0,420.4
6.0,True,9.68,29.0,167.6
8.7,True,9.59,28.9,468.3
12.9,True,9.6,28.9,422.3
11.8,True,9.6,29.0,442.0
10.6,True,9.59,28.9,452.0
12.8,True,9.6,28.9,420.4
9.1,True,9.59,28.9,464.2
12.6,True,9.6,29.0,422.3
12.8,True,9.6,28.9,424.3
12.8,True,9.6,28.9,422.3
8.6,True,9.59,28.9,472.5
9.4,True,9.59,28.9,462.2
12.9,True,9.6,29.0,426.2
10.3,True,9.59,28.9,456.0
6.0,True,9.68,29.0,167.6
12.8,True,9.6,28.9,422.3
5.8,True,9.68,29.0,169.4
11.3,True,9.59,28.9,446.0
12.6,True,9.6,28.9,422.3
5.9,True,9.68,29.0,169.4
5.8,True,9.68,29.0,169.4
12.6,True,9.6,28.9,422.3
11.1,True,9.59,28.9,448.0
12.9,True,9.6,29.0,428.2
11.3,True,9.59,28.9,446.0
12.7,True,9.6,28.9,424.3
10.8,True,9.59,28.9,450.0
7.3,True,9.59,28.9,470.4
12.5,True,9.61,29.0,420.4
5.8,True,9.68,29.0,169.4
11.6,True,9.59,28.9,444.0
11.5,True,9.59,28.9,444.0
12.8,True,9.6,28.9,420.4
6.1,True,9.68,29.0,167.6
12.4,True,9.6,28.9,424.3
12.8,True,9.6,29.0,426.2
12.8,True,9.6,28.9,424.3
12.8,True,9.6,28.9,422.3
12.6,True,9.6,29.0,424.3
12.7,True,9.6,28.9,420.4
12.8,True,9.6,29.0,428.2
12.8,True,9.61,29.0,420.4
12.6,True,9.6,28.9,422.3
6.0,True,9.68,29.0,167.6
12.5,True,9.6,28.9,422.3
9.8,True,9.59,28.9,458.1
12.8,True,9.61,29.0,420.4
12.7,True,9.6,29.0,422.3
12.7,True,9.61,29.0,420.4
9.1,True,9.59,28.9,464.2
10.5,True,9.59,28.9,454.0
9.9,True,9.59,28.9,456.0
12.7,True,9.6,28.9,424.3
12.8,True,9.61,29.0,420.4
6.0,True,9.68,29.0,169.4
12.5,True,9.6,28.9,424.3
12.4,True,9.61,29.0,420.4
12.6,True,9.6,28.9,420.4
6.6,True,9.59,28.9,448.0
12.9,True,9.6,29.0,428.2
10.0,True,9.59,28.9,456.0
10.0,True,9.59,28.9,456.0
12.6,True,9.6,29.0,426.2
11.2,True,9.59,28.9,448.0
10.4,True,9.6,29.0,454.0
9.2,True,9.59,28.9,462.2
6.6,True,9.6,28.9,438.0
6.6,True,9.6,28.9,440.0
12.7,True,9.6,28.9,428.2
12.8,True,9.6,28.9,420.4
12.4,True,9.61,29.0,420.4
12.6,True,9.6,28.9,422.3
11.1,True,9.59,28.9,448.0
12.5,True,9.61,29.0,420.4
12.8,True,9.6,28.9,422.3
12.6,True,9.61,29.0,420.4
12.7,True,9.6,28.9,422.3
13.0,True,9.6,28.9,426.2
