ph_value,timestamp,status,do_value,temp_value,salinity_value,id,serialNumber
12.4,2025-05-11 16:26:36,True,9.61,29.0,420.4,d60a5e34-e1e0-437f-909b-542c061755b3,SN-47F2B3CE
12.4,2025-05-11 16:21:56,True,9.6,28.9,426.2,a8da60a1-deaa-46ff-bf7d-17f087c94a9e,SN-47F2B3CE
12.4,2025-05-11 16:21:52,True,9.6,29.0,426.2,a74d40ba-9170-4ad6-9e51-1c67bcc4b6a4,SN-47F2B3CE
12.6,2025-05-11 16:24:38,True,9.6,28.9,422.3,521a34e1-4c2e-46da-baf0-926ac7777a1d,SN-47F2B3CE
12.7,2025-05-11 16:26:58,True,9.61,29.0,420.4,54d77fd6-e0bb-452d-90d6-265db14eb913,SN-47F2B3CE
6.9,2025-05-11 16:05:05,True,9.62,29.0,384.4,f1e05236-6d81-4de9-be5d-d06b4cc62b75,SN-47F2B3CE
9.3,2025-05-11 16:16:45,True,9.59,28.9,462.2,274f9292-26ec-40a2-9e6d-71d0a1e1b603,SN-47F2B3CE
12.7,2025-05-11 16:24:56,True,9.6,28.9,422.3,b42dfc47-7565-4eb6-aac3-5d45138cf8bb,SN-47F2B3CE
12.8,2025-05-11 16:22:42,True,9.6,28.9,424.3,7c2ea1b7-caab-41b8-a6e9-4d84ff041ba4,SN-47F2B3CE
13.3,2025-05-11 16:19:50,True,9.6,29.0,440.0,458fefa1-2c4e-4bbe-a501-188b91e0d894,SN-47F2B3CE
12.6,2025-05-11 16:23:24,True,9.6,28.9,424.3,20c717fc-a352-4507-851c-97bb7420ed9d,SN-47F2B3CE
12.6,2025-05-11 16:22:36,True,9.6,29.0,424.3,07fd0b5b-a2cc-4836-92e2-a03c8c93f78a,SN-47F2B3CE
10.9,2025-05-11 16:18:16,True,9.6,29.0,448.0,9699014f-da26-4add-97e3-b4e37f97505d,SN-47F2B3CE
12.9,2025-05-11 16:25:18,True,9.6,28.9,422.3,90c31eb8-eb65-4011-b8aa-80997e965ca5,SN-47F2B3CE
11.2,2025-05-11 16:18:34,True,9.59,28.9,448.0,7ffd9353-75b8-4090-8687-4e7be552bf9a,SN-47F2B3CE
12.8,2025-05-11 16:27:06,True,9.61,29.0,420.4,0a9ef9cc-c4f2-4bfc-b893-64b96bc240e6,SN-47F2B3CE
6.0,2025-05-11 16:04:03,True,9.68,29.0,167.6,70325de9-c3e3-4263-a60c-ff5d42d94c20,SN-47F2B3CE
8.7,2025-05-11 16:16:15,True,9.59,28.9,468.3,ae1da04b-daf6-411c-984e-7408e5376a31,SN-47F2B3CE
12.9,2025-05-11 16:25:44,True,9.6,28.9,422.3,f61c419a-347b-44b5-9b09-1ab0288048bd,SN-47F2B3CE
11.8,2025-05-11 16:19:36,True,9.6,29.0,442.0,d5d929e5-2044-41f3-b716-df44671808b9,SN-47F2B3CE
10.6,2025-05-11 16:17:58,True,9.59,28.9,452.0,c99c0ede-6132-470b-bdae-23e1276412b0,SN-47F2B3CE
12.8,2025-05-11 16:27:52,True,9.6,28.9,420.4,408f8764-8192-49f7-8a21-4b85cff1636d,SN-47F2B3CE
9.1,2025-05-11 16:16:35,True,9.59,28.9,464.2,d85d9734-8ff4-407a-9a6b-c62ce01ef960,SN-47F2B3CE
12.6,2025-05-11 16:25:16,True,9.6,29.0,422.3,b3e36706-19cc-4e18-866a-59d3fb4fa6bd,SN-47F2B3CE
12.8,2025-05-11 16:23:32,True,9.6,28.9,424.3,b0b4b4b7-1ff6-4eb0-a50b-eb2519e0c308,SN-47F2B3CE
12.8,2025-05-11 16:23:50,True,9.6,28.9,422.3,9dd6342e-0368-4cf7-9674-1878cd033782,SN-47F2B3CE
8.6,2025-05-11 16:16:07,True,9.59,28.9,472.5,159068e4-d385-4d99-ba0b-40cab07c1008,SN-47F2B3CE
9.4,2025-05-11 16:16:53,True,9.59,28.9,462.2,6d54a8d5-6ff0-4647-a480-38d9ee70e64f,SN-47F2B3CE
12.9,2025-05-11 16:20:02,True,9.6,29.0,426.2,9b3d2e94-6dec-4662-97ad-0edec03f36ab,SN-47F2B3CE
10.3,2025-05-11 16:17:32,True,9.59,28.9,456.0,9af96edf-de24-48c7-8c34-ce194b8fe45d,SN-47F2B3CE
6.0,2025-05-11 16:03:55,True,9.68,29.0,167.6,ac5adb16-020a-4c0b-b15f-13478cda2199,SN-47F2B3CE
12.8,2025-05-11 16:24:02,True,9.6,28.9,422.3,6471a06e-7bf7-4a48-9e19-42ccfab37ef7,SN-47F2B3CE
5.8,2025-05-11 16:02:48,True,9.68,29.0,169.4,dbae3bb5-e688-496f-bdfd-c010267070de,SN-47F2B3CE
11.3,2025-05-11 16:18:52,True,9.59,28.9,446.0,71bb3683-a0a8-4f1f-a7c1-26b643dcd013,SN-47F2B3CE
12.6,2025-05-11 16:24:06,True,9.6,28.9,422.3,bbb1865b-6344-422e-8b90-6fc24eef6c87,SN-47F2B3CE
5.9,2025-05-11 16:02:36,True,9.68,29.0,169.4,25ef14b4-ae82-449a-8381-758c0bb9f731,SN-47F2B3CE
5.8,2025-05-11 16:02:46,True,9.68,29.0,169.4,3b666198-b1c0-4899-ada3-f0ced77ee15c,SN-47F2B3CE
12.6,2025-05-11 16:25:24,True,9.6,28.9,422.3,2959a47d-fadf-42e8-a7b1-da5bbe600603,SN-47F2B3CE
11.1,2025-05-11 16:18:30,True,9.59,28.9,448.0,556623db-d4ec-4b15-bc53-eb805d3d0e37,SN-47F2B3CE
12.9,2025-05-11 16:20:38,True,9.6,29.0,428.2,a46fccd1-67b2-47d8-aa6f-8d1793846775,SN-47F2B3CE
11.3,2025-05-11 16:18:42,True,9.59,28.9,446.0,49967fa4-7c32-4590-a46d-075f60329dbd,SN-47F2B3CE
12.7,2025-05-11 16:23:02,True,9.6,28.9,424.3,61a96ce3-a606-43dc-be55-a9030c2bd623,SN-47F2B3CE
10.8,2025-05-11 16:18:08,True,9.59,28.9,450.0,8cef3752-7115-4185-8fcd-f27d31176af3,SN-47F2B3CE
7.3,2025-05-11 16:06:22,True,9.59,28.9,470.4,5e52947c-1cc3-4eac-8864-8c5a9b10653a,SN-47F2B3CE
12.5,2025-05-11 16:26:44,True,9.61,29.0,420.4,4d4bd0c0-57b2-43db-b84a-86f049f85659,SN-47F2B3CE
5.8,2025-05-11 16:02:42,True,9.68,29.0,169.4,2466bff0-db49-4e96-bfe0-dd2778d3df57,SN-47F2B3CE
11.6,2025-05-11 16:19:06,True,9.59,28.9,444.0,afb257c0-4edb-449a-93c2-6cb28b18a8c1,SN-47F2B3CE
11.5,2025-05-11 16:19:00,True,9.59,28.9,444.0,bf1c2080-61b8-40e4-9a5c-b794615d8967,SN-47F2B3CE
12.8,2025-05-11 16:26:28,True,9.6,28.9,420.4,54d59e34-afc6-4a67-8429-a2cfb87145e5,SN-47F2B3CE
6.1,2025-05-11 16:04:35,True,9.68,29.0,167.6,63a5c98d-721d-4781-af1a-19bd38de009c,SN-47F2B3CE
12.4,2025-05-11 16:22:38,True,9.6,28.9,424.3,3ac70e83-23cc-4d72-bfeb-e41f95e6bcca,SN-47F2B3CE
12.8,2025-05-11 16:20:10,True,9.6,29.0,426.2,d3f4fa35-5f90-420c-9fc1-058bbd522ae6,SN-47F2B3CE
12.8,2025-05-11 16:23:44,True,9.6,28.9,424.3,8c20bde4-2768-43eb-85d1-21055e24d207,SN-47F2B3CE
12.8,2025-05-11 16:24:36,True,9.6,28.9,422.3,4cc2fb0e-f265-44f0-9d93-46abfa81520a,SN-47F2B3CE
12.6,2025-05-11 16:22:30,True,9.6,29.0,424.3,7ed6dd11-11ca-4d86-916b-2f667ead67b1,SN-47F2B3CE
