ph_value,timestamp,status,do_value,temp_value,salinity_value,id,serialNumber
9.4,2025-05-11 16:46:06,True,9.62,27.8,136.0,4769975c-906f-4f85-8a9a-d26a1ed721a6,SN-47F2B3CE
9.5,2025-05-11 16:47:48,True,9.61,27.8,165.9,70e84de1-92c1-4a66-a9e2-bf1f14ef1da0,SN-47F2B3CE
6.7,2025-05-11 16:50:34,True,9.62,27.9,169.4,37711a61-f12b-4c1b-9580-4c012921d454,SN-47F2B3CE
7.2,2025-05-11 16:58:15,True,9.62,27.9,174.5,6b859c63-886f-481a-bcfd-011db8719d45,SN-47F2B3CE
13.4,2025-05-11 16:46:20,True,9.62,27.8,136.0,b2bfcde9-eb91-41c9-b82a-4a16ba47e994,SN-47F2B3CE
9.6,2025-05-11 16:48:46,True,9.62,27.8,165.9,ae0f4eb8-ff82-4dc2-ae4b-5e9497dba012,SN-47F2B3CE
6.7,2025-05-11 16:52:24,True,9.62,27.9,171.1,b643d571-b099-421a-80dd-442ba4466e0f,SN-47F2B3CE
6.6,2025-05-11 16:52:12,True,9.62,27.9,171.1,623de80c-475c-4b28-8870-0bc5bfcfc49a,SN-47F2B3CE
9.7,2025-05-11 16:47:40,True,9.62,27.8,165.9,307ab94f-5682-452d-95de-066d905f9ada,SN-47F2B3CE
9.5,2025-05-11 16:48:30,True,9.62,27.8,165.9,1c3f9989-5a18-4210-b689-700a89de6ebd,SN-47F2B3CE
6.9,2025-05-11 16:50:16,True,9.62,27.9,169.4,06697370-9e65-4d48-bcef-0009bda8d84e,SN-47F2B3CE
6.8,2025-05-11 16:54:11,True,9.62,27.9,172.8,1371f8c4-3181-4dcc-b703-d3973a9d886d,SN-47F2B3CE
6.5,2025-05-11 16:51:36,True,9.62,27.9,171.1,c6c2aa6e-0a0a-48c8-a969-9228ab8c4aef,SN-47F2B3CE
6.8,2025-05-11 16:54:09,True,9.62,27.9,172.8,964c8a87-4757-40ae-82c2-67a8bba6f023,SN-47F2B3CE
6.8,2025-05-11 16:51:10,True,9.62,27.9,171.1,c461718c-a3e8-4534-99de-3de89febc754,SN-47F2B3CE
6.4,2025-05-11 16:53:37,True,9.62,27.9,172.8,704d26c6-2e56-4308-bc40-d96983d973c1,SN-47F2B3CE
6.2,2025-05-11 16:53:06,True,9.62,27.9,172.8,92c5c3a6-a254-4287-93ca-67e3ef737c50,SN-47F2B3CE
7.1,2025-05-11 16:54:24,True,9.62,27.9,172.8,d00ad540-9b94-460f-b079-54a6fc461b16,SN-47F2B3CE
9.5,2025-05-11 16:48:28,True,9.62,27.8,165.9,c4c7db31-8e1c-4719-8847-8f529decef81,SN-47F2B3CE
