ph_value,timestamp,status,do_value,temp_value,salinity_value,id,serialNumber
4.7,2025-05-11 17:15:59,True,9.37,29.5,1345.3,0e5f2af2-ca81-4eaa-bf35-bdbcdbfca41e,SN-47F2B3CE
6.3,2025-05-11 17:34:15,True,9.38,29.4,1284.4,0a67ad68-236d-4af4-9b20-f25a3bfc4b0b,SN-47F2B3CE
5.0,2025-05-11 17:24:09,True,9.37,29.4,1329.8,cb1dc9eb-2173-42ef-b9a2-ad6ae48e1433,SN-47F2B3CE
4.8,2025-05-11 17:14:41,True,9.37,29.5,1345.3,27d79c32-780d-4fca-bc39-89ae7425e0fa,SN-47F2B3CE
6.2,2025-05-11 17:38:57,True,9.38,29.4,1274.5,78328b7a-40c2-4468-9bb9-58aacecd6c64,SN-47F2B3CE
4.3,2025-05-11 17:22:01,True,9.37,29.4,1329.8,b7a84695-2675-4796-ba37-58a4cdd5f34d,SN-47F2B3CE
4.6,2025-05-11 17:24:27,True,9.37,29.4,1309.4,6ec37620-3ae8-4e01-a73f-c2cc50d56b16,SN-47F2B3CE
6.8,2025-05-11 17:39:17,True,9.39,29.5,1274.5,be571ca5-ecef-4c05-ba8c-5b7898436efe,SN-47F2B3CE
8.1,2025-05-11 17:41:02,True,9.38,29.4,1284.4,ee6311bb-b5df-41a4-a725-993eabe36ffd,SN-47F2B3CE
5.0,2025-05-11 17:23:10,True,9.38,29.4,1299.4,2366a39d-f78c-4bb7-8e2c-48b0d2b60ad5,SN-47F2B3CE
6.6,2025-05-11 17:38:39,True,9.39,29.5,1274.5,ef21ebc0-4663-498a-b250-ce8f1c0d3b56,SN-47F2B3CE
5.7,2025-05-11 17:29:37,True,9.38,29.5,1314.5,9657be59-eb7e-4600-ac58-aded318c8628,SN-47F2B3CE
4.0,2025-05-11 17:13:38,True,9.37,29.6,1355.7,f3e103cc-ddeb-4ec1-b5ee-a264af95a8ca,SN-47F2B3CE
5.8,2025-05-11 17:36:19,True,9.38,29.4,1279.4,35c77feb-e8db-4cc6-ac31-ff1f325ca890,SN-47F2B3CE
4.2,2025-05-11 17:13:54,True,9.37,29.6,1350.5,0278534c-cacd-4b93-9c24-8a885f8f2712,SN-47F2B3CE
4.8,2025-05-11 17:21:13,True,9.37,29.4,1324.7,3bffb02b-7877-45b9-8c04-6139f2a6ecd0,SN-47F2B3CE
5.4,2025-05-11 17:24:07,True,9.37,29.4,1329.8,13bb6204-0665-4c9b-b01a-e3caed6843d4,SN-47F2B3CE
5.3,2025-05-11 17:28:09,True,9.37,29.5,1345.3,a8b8ed18-155d-474f-ac7a-f849946fb253,SN-47F2B3CE
5.7,2025-05-11 17:30:01,True,9.38,29.5,1314.5,b4dc98e6-68cd-4eb2-96aa-5a51a1f0f382,SN-47F2B3CE
6.2,2025-05-11 17:30:22,True,9.38,29.5,1314.5,2fdeac3d-3d27-4f46-a1ed-0a2c7f761e0e,SN-47F2B3CE
7.9,2025-05-11 17:39:52,True,9.38,29.4,1279.4,757874c1-99b2-4a21-b8f5-b36474d6dcde,SN-47F2B3CE
4.3,2025-05-11 17:18:13,True,9.37,29.5,1345.3,0cfbd947-14ad-4164-b106-3705c417c86b,SN-47F2B3CE
5.7,2025-05-11 17:29:49,True,9.37,29.4,1314.5,7b56095a-e9c1-43bb-bfa7-ca28cdf1c93b,SN-47F2B3CE
4.9,2025-05-11 17:25:33,True,9.37,29.5,1350.5,0f2bce92-4b79-4bcf-a79f-bb437ae910f2,SN-47F2B3CE
4.1,2025-05-11 17:19:01,True,9.37,29.5,1345.3,f0724381-872c-4176-82fd-ea6b74a19207,SN-47F2B3CE
4.3,2025-05-11 17:14:31,True,9.37,29.5,1345.3,210f92a1-6dfb-409c-822c-d55a44806dad,SN-47F2B3CE
6.3,2025-05-11 17:35:41,True,9.38,29.4,1279.4,1d11129f-5fb9-4283-8093-98077dbc28cf,SN-47F2B3CE
6.5,2025-05-11 17:33:43,True,9.39,29.5,1284.4,c5253215-eb25-4a4c-840b-33c998f68092,SN-47F2B3CE
7.7,2025-05-11 17:40:52,True,9.38,29.4,1284.4,cbd46e0b-f019-4eb6-aa33-882496a1d205,SN-47F2B3CE
4.3,2025-05-11 17:16:17,True,9.37,29.5,1345.3,b8e1fb71-f267-455c-b1d8-a34058126cad,SN-47F2B3CE
5.2,2025-05-11 17:27:27,True,9.36,29.5,1366.2,536a293f-46a3-417a-9372-1112b37f9d38,SN-47F2B3CE
5.7,2025-05-11 17:29:33,True,9.38,29.5,1314.5,be356208-f04f-451b-bc0f-5437a06f812b,SN-47F2B3CE
6.7,2025-05-11 17:38:41,True,9.39,29.5,1274.5,d9fc0ea1-2791-460b-984f-51f931e73ef6,SN-47F2B3CE
5.2,2025-05-11 17:27:59,True,9.37,29.5,1345.3,5108934a-c5c4-4629-9519-d083adadc55c,SN-47F2B3CE
5.8,2025-05-11 17:29:21,True,9.38,29.5,1319.6,0ea2b683-3ea8-4ae5-ae29-9b255098e249,SN-47F2B3CE
4.6,2025-05-11 17:19:27,True,9.37,29.5,1340.1,35d46da6-7d6e-49cf-8014-73c35846ea55,SN-47F2B3CE
4.7,2025-05-11 17:18:33,True,9.37,29.5,1345.3,1709bc81-171a-4994-9924-2d3cd659aa00,SN-47F2B3CE
4.8,2025-05-11 17:21:53,True,9.37,29.4,1340.1,24afd68e-0f1b-4e4d-8a33-f28034e8a845,SN-47F2B3CE
4.9,2025-05-11 17:21:01,True,9.37,29.4,1324.7,1a3442e2-c822-4683-828d-630248807f53,SN-47F2B3CE
