ph_value,timestamp,status,do_value,temp_value,salinity_value,id,serialNumber
6.7,2025-05-09 23:23:43,True,9.73,30.1,256.3,c6b3cf4b-85ab-4250-ad74-0a47bc3e2e80,SN-47F2B3CE
6.7,2025-05-09 23:23:23,True,9.73,30.1,256.3,ec4a8850-173e-4d5a-90a1-a211596fa273,SN-47F2B3CE
6.7,2025-05-09 23:22:38,True,9.73,30.1,258.0,f2379ab4-4d84-4a4b-a402-9b1f0d8f8b2d,SN-47F2B3CE
6.5,2025-05-09 23:29:11,True,9.73,30.1,258.0,85f58ec7-8bd3-4bab-9128-29c01d795305,SN-47F2B3CE
6.8,2025-05-09 23:25:23,True,9.73,30.1,258.0,e85ebb4d-a808-46d0-b57b-d0aa5389fdc2,SN-47F2B3CE
6.7,2025-05-09 23:22:44,True,9.73,30.1,256.3,96859f7f-a12b-4ba5-b6d2-114c12c0e148,SN-47F2B3CE
6.6,2025-05-09 23:21:30,True,9.73,30.1,256.3,3e27425f-9f76-4c85-ae45-d786fdfd8a98,SN-47F2B3CE
6.7,2025-05-09 23:24:44,True,9.73,30.1,256.3,ad0a8746-1dde-46c4-9015-d303819904d0,SN-47F2B3CE
6.7,2025-05-09 23:21:00,True,9.73,30.1,258.0,edd595b0-9dbd-4c95-a406-6d1fec335a50,SN-47F2B3CE
6.7,2025-05-09 23:24:20,True,9.73,30.1,256.3,9ef79abe-730a-409c-a420-8b522dabbda6,SN-47F2B3CE
6.7,2025-05-09 23:21:48,True,9.73,30.1,258.0,ec1bfd01-67f7-4842-a4ca-e1bc021196d9,SN-47F2B3CE
6.8,2025-05-09 23:24:48,True,9.73,30.1,256.3,0dd3707d-461e-4074-ba94-3888e6c6e5ea,SN-47F2B3CE
6.8,2025-05-09 23:25:19,True,9.73,30.1,256.3,42c1b01b-eec4-4525-967b-ced96a075a2e,SN-47F2B3CE
6.7,2025-05-09 23:22:12,True,9.73,30.1,258.0,83dd4144-9efa-4b93-8be7-191b36894427,SN-47F2B3CE
6.7,2025-05-09 23:21:46,True,9.74,30.2,258.0,185b1bfc-5afd-4eaa-ae35-2db3f48b721f,SN-47F2B3CE
6.7,2025-05-09 23:25:55,True,9.73,30.1,256.3,5d6f627e-d61a-42fb-93c8-48f9524cadfc,SN-47F2B3CE
6.8,2025-05-09 23:25:13,True,9.73,30.1,256.3,1166a18f-cf57-4a58-bb34-adef2f049983,SN-47F2B3CE
6.5,2025-05-09 23:28:48,True,9.73,30.1,258.0,3d456ffb-0b81-4f9a-bf1e-fa3a296926b1,SN-47F2B3CE
6.7,2025-05-09 23:24:24,True,9.73,30.1,256.3,f5a705cc-ecba-40e8-a392-d071f91d8c2e,SN-47F2B3CE
6.8,2025-05-09 23:25:03,True,9.73,30.1,256.3,bfa4ac78-361a-4f1b-a78a-c13f185eee99,SN-47F2B3CE
6.4,2025-05-09 23:28:34,True,9.73,30.1,258.0,c826022a-2968-44a3-b19f-5b785f9a8356,SN-47F2B3CE
6.7,2025-05-09 23:23:51,True,9.73,30.1,256.3,e1275533-e3a5-4486-b926-ef07b40a8d04,SN-47F2B3CE
6.7,2025-05-09 23:22:32,True,9.73,30.1,258.0,95d61e1b-f1a3-422b-b910-a46c52f1c2bd,SN-47F2B3CE
6.7,2025-05-09 23:23:03,True,9.73,30.1,256.3,1b18151a-0f6b-434d-8740-350b6fc932cc,SN-47F2B3CE
6.5,2025-05-09 23:28:58,True,9.73,30.1,258.0,da6f58a1-d884-419d-9caf-1c7a85cddf37,SN-47F2B3CE
6.7,2025-05-09 23:21:36,True,9.74,30.2,256.3,aed378d3-940c-4c74-95ad-9e5d76b3d97a,SN-47F2B3CE
6.7,2025-05-09 23:23:13,True,9.73,30.1,256.3,0e5d1068-7dbb-467d-aab1-0987f8903743,SN-47F2B3CE
6.8,2025-05-09 23:25:07,True,9.73,30.1,256.3,31b11ca3-9d28-413f-9818-cb23e8efb4a6,SN-47F2B3CE
6.7,2025-05-09 23:24:40,True,9.73,30.1,256.3,92976339-b23c-4b78-9b13-0275337c6f59,SN-47F2B3CE
