ph_value,do_value,temp_value,salinity_value,ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered,label,status
6.700,9.660,28.900,232.600,6.743,9.660,28.900,232.754,0,
9.900,9.650,28.900,224.100,7.216,9.659,28.900,231.502,0,
9.200,9.650,28.900,230.900,7.642,9.658,28.900,230.320,0,
7.500,9.660,28.900,225.800,7.995,9.657,28.900,229.274,0,
9.400,9.650,28.900,227.500,8.260,9.656,28.900,228.407,0,
9.900,9.650,28.900,224.100,8.431,9.656,28.900,227.739,0,
9.800,9.650,28.900,224.100,8.510,9.655,28.900,227.266,0,
6.800,9.660,28.900,227.500,8.509,9.655,28.900,226.961,0,
9.500,9.660,28.900,227.500,8.445,9.655,28.900,226.775,0,
9.000,9.660,28.900,230.900,8.339,9.655,28.900,226.656,0,
7.000,9.660,28.900,227.500,8.209,9.655,28.900,226.565,0,
6.800,9.650,28.900,227.500,8.076,9.655,28.900,226.485,0,
6.800,9.650,28.900,225.800,7.955,9.655,28.900,226.415,0,
7.300,9.660,28.900,225.800,7.848,9.654,28.900,226.361,0,
9.900,9.650,28.900,224.100,7.750,9.654,28.900,226.328,0,
6.800,9.650,28.900,227.500,7.657,9.654,28.900,226.313,0,
8.300,9.660,28.900,227.500,7.566,9.654,28.900,226.304,0,
7.600,9.660,28.900,225.800,7.480,9.654,28.900,226.294,0,
6.800,9.650,28.900,225.800,7.403,9.654,28.900,226.277,0,
8.200,9.650,28.900,227.500,7.339,9.654,28.900,226.251,0,
6.800,9.650,28.900,225.800,7.295,9.655,28.900,226.215,0,
6.900,9.660,28.900,227.500,7.275,9.655,28.900,226.167,0,
6.700,9.650,28.900,225.800,7.283,9.655,28.900,226.115,0,
7.800,9.660,28.900,225.800,7.322,9.655,28.900,226.067,0,
6.700,9.660,28.900,225.800,7.388,9.655,28.900,226.032,0,
6.900,9.660,28.900,227.500,7.479,9.655,28.900,226.021,0,
9.700,9.650,28.900,224.100,7.588,9.655,28.900,226.044,0,
6.500,9.660,28.900,224.100,7.711,9.655,28.900,226.109,0,
6.800,9.650,28.900,227.500,7.845,9.655,28.900,226.218,0,
9.600,9.650,28.900,224.100,7.988,9.655,28.900,226.362,0,
6.700,9.660,28.900,227.500,8.132,9.655,28.900,226.524,0,
8.500,9.650,28.900,227.500,8.271,9.654,28.900,226.688,0,
9.600,9.650,28.900,227.500,8.397,9.654,28.900,226.834,0,
8.400,9.660,28.900,227.500,8.505,9.654,28.900,226.951,0,
7.100,9.660,28.900,227.500,8.591,9.654,28.900,227.034,0,
9.900,9.650,28.900,224.100,8.651,9.654,28.900,227.082,0,
8.600,9.650,28.900,230.900,8.680,9.654,28.900,227.093,0,
9.400,9.660,28.900,227.500,8.674,9.655,28.900,227.064,0,
9.400,9.650,28.900,227.500,8.632,9.655,28.900,227.001,0,
9.700,9.660,28.900,224.100,8.561,9.655,28.900,226.918,0,
6.800,9.650,28.900,227.500,8.472,9.655,28.900,226.829,0,
9.900,9.650,28.900,224.100,8.382,9.655,28.900,226.739,0,
6.700,9.660,28.900,230.900,8.306,9.655,28.900,226.644,0,
6.700,9.660,28.900,225.800,8.256,9.655,28.900,226.540,0,
6.800,9.660,28.900,225.800,8.239,9.655,28.900,226.431,0,
9.400,9.650,28.900,227.500,8.245,9.655,28.900,226.326,0,
9.600,9.650,28.900,224.100,8.262,9.654,28.900,226.236,0,
6.900,9.660,28.900,227.500,8.279,9.654,28.900,226.167,0,
9.800,9.650,28.900,224.100,8.287,9.654,28.900,226.123,0,
6.800,9.650,28.900,227.500,8.283,9.654,28.900,226.104,0,
9.900,9.650,28.900,224.100,8.260,9.654,28.900,226.108,0,
9.600,9.660,28.900,227.500,8.218,9.654,28.900,226.127,0,
7.500,9.660,28.900,225.800,8.159,9.654,28.900,226.152,0,
6.800,9.650,28.900,227.500,8.093,9.654,28.900,226.178,0,
6.800,9.650,28.900,227.500,8.029,9.654,28.900,226.199,0,
9.600,9.650,28.900,224.100,7.967,9.654,28.900,226.222,0,
7.100,9.660,28.900,227.500,7.902,9.654,28.900,226.254,0,
9.600,9.650,28.900,224.100,7.831,9.654,28.900,226.300,0,
6.800,9.660,28.900,227.500,7.755,9.654,28.900,226.361,0,
7.900,9.650,28.900,225.800,7.678,9.654,28.900,226.434,0,
8.000,9.650,28.900,227.500,7.607,9.654,28.900,226.515,0,
6.900,9.650,28.900,225.800,7.546,9.654,28.900,226.600,0,
7.400,9.660,28.900,225.800,7.502,9.654,28.900,226.687,0,
