ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered,label
5.995,9.379,29.477,1311.759,4
8.452,9.654,28.9,225.8,0
1.202,9.615,27.841,170.063,1
7.564,9.656,28.9,227.614,0
7.862,9.653,28.9,226.683,0
5.156,9.417,29.586,1211.878,4
11.363,9.611,28.943,391.952,2
7.447,9.653,28.9,226.837,0
8.057,9.655,28.9,226.843,0
10.2,9.638,30.238,623.254,3
8.468,9.656,28.9,227.356,0
7.791,9.657,28.9,227.194,0
0.955,9.619,27.888,171.597,1
8.267,9.655,28.9,225.911,0
9.003,9.666,29.546,335.275,5
9.536,9.638,30.207,621.891,3
9.817,9.616,28.94,371.758,2
7.727,9.653,28.9,226.573,0
8.428,9.653,28.9,226.444,0
1.242,9.619,27.86,168.013,1
1.008,9.621,27.891,169.851,1
9.399,9.638,30.231,622.641,3
8.026,9.653,28.9,225.726,0
10.082,9.64,30.274,624.154,3
8.319,9.655,28.9,226.202,0
10.877,9.613,28.956,387.257,2
9.32,9.641,30.281,626.331,3
8.123,9.655,28.9,227.081,0
8.65,9.656,28.9,227.169,0
8.595,9.655,28.9,226.156,0
1.472,9.62,27.864,168.377,1
8.38,9.657,28.9,227.356,0
9.712,9.636,30.202,620.585,3
8.224,9.657,28.9,227.581,0
7.649,9.654,28.9,226.938,0
8.551,9.652,28.9,225.021,0
9.93,9.621,28.952,359.267,2
7.632,9.654,28.9,226.989,0
8.43,9.656,28.9,226.648,0
8.198,9.655,28.9,227.164,0
1.872,9.62,27.865,169.139,1
8.203,9.655,28.9,227.454,0
5.234,9.375,29.484,1323.33,4
8.186,9.655,28.9,226.47,0
7.599,9.657,28.9,227.445,0
8.421,9.653,28.9,225.155,0
7.733,9.655,28.9,226.829,0
7.89,9.655,28.9,226.351,0
8.928,9.657,29.546,370.641,5
7.89,9.654,28.9,226.164,0
8.319,9.654,28.9,225.764,0
8.718,9.657,28.9,227.305,0
8.51,9.655,28.9,227.266,0
9.036,9.666,29.53,337.369,5
8.58,9.656,28.9,227.084,0
8.561,9.655,28.9,226.871,0
7.602,9.655,28.9,227.593,0
8.159,9.655,28.9,226.65,0
7.988,9.655,28.9,226.362,0
7.566,9.654,28.9,226.304,0
0.754,9.618,27.852,167.91,1
8.397,9.654,28.9,226.834,0
8.384,9.655,28.9,227.272,0
8.911,9.649,29.551,403.898,5
7.54,9.654,28.9,226.942,0
8.332,9.652,28.9,225.614,0
5.57,9.369,29.451,1330.821,4
7.967,9.654,28.9,226.222,0
8.298,9.652,28.9,225.668,0
11.434,9.598,28.93,435.01,2
9.812,9.636,30.208,620.557,3
7.973,9.656,28.9,226.756,0
7.75,9.654,28.9,226.328,0
8.624,9.655,28.9,226.862,0
8.374,9.654,28.9,227.964,0
7.604,9.655,28.9,227.101,0
7.515,9.653,28.9,226.859,0
8.244,9.652,28.9,225.723,0
10.37,9.637,30.224,620.688,3
5.456,9.374,29.459,1322.635,4
8.674,9.655,28.9,227.064,0
7.902,9.656,28.9,227.077,0
9.041,9.655,29.553,368.971,5
7.793,9.656,28.9,227.192,0
8.26,9.654,28.9,226.108,0
7.607,9.654,28.9,226.515,0
7.722,9.655,28.9,226.637,0
10.954,9.604,28.938,424.368,2
8.235,9.652,28.9,225.767,0
8.389,9.654,28.9,225.613,0
9.207,9.642,30.27,625.377,3
10.544,9.616,28.956,377.474,2
9.041,9.659,29.561,364.764,5
8.227,9.658,28.9,226.103,0
10.799,9.605,28.94,421.054,2
8.038,9.66,28.9,225.815,0
7.842,9.654,28.9,226.846,0
8.271,9.655,28.9,227.237,0
9.084,9.649,29.529,388.684,5
8.452,9.654,28.9,225.937,0
8.324,9.654,28.9,228.28,0
6.557,9.384,29.447,1283.087,4
8.441,9.654,28.9,227.835,0
7.812,9.657,28.9,227.737,0
8.454,9.655,28.9,226.118,0
7.995,9.657,28.9,229.274,0
7.216,9.659,28.9,231.502,0
7.804,9.655,28.9,226.347,0
7.275,9.655,28.9,226.167,0
7.625,9.653,28.9,226.876,0
7.884,9.655,28.9,226.719,0
5.564,9.37,29.455,1327.124,4
8.331,9.656,28.9,227.174,0
