ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered
10.033,9.630,30.106,615.175
10.058,9.631,30.127,616.594
10.092,9.632,30.146,617.844
10.128,9.633,30.163,618.920
10.158,9.634,30.178,619.860
10.177,9.635,30.191,620.707
10.183,9.635,30.203,621.479
10.179,9.636,30.215,622.168
10.170,9.637,30.224,622.731
10.167,9.637,30.231,623.112
10.173,9.638,30.235,623.290
10.185,9.638,30.237,623.308
10.200,9.638,30.238,623.254
10.209,9.638,30.239,623.222
10.209,9.638,30.242,623.293
10.195,9.639,30.247,623.530
10.164,9.639,30.254,623.982
10.117,9.639,30.264,624.676
10.055,9.640,30.274,625.602
9.985,9.640,30.285,626.710
9.912,9.641,30.295,627.918
9.842,9.641,30.303,629.125
9.778,9.642,30.310,630.221
9.722,9.642,30.315,631.107
9.677,9.642,30.318,631.713
9.643,9.642,30.320,632.005
9.624,9.641,30.320,631.984
9.628,9.641,30.320,631.688
9.659,9.641,30.319,631.157
9.716,9.640,30.316,630.411
9.791,9.640,30.312,629.454
9.869,9.639,30.307,628.306
9.942,9.638,30.300,627.029
10.002,9.638,30.292,625.733
10.045,9.638,30.284,624.530
10.068,9.637,30.277,623.514
10.064,9.637,30.271,622.763
10.027,9.638,30.267,622.319
9.961,9.638,30.265,622.187
9.872,9.639,30.265,622.331
9.772,9.639,30.265,622.691
9.674,9.640,30.267,623.199
9.585,9.640,30.269,623.798
9.504,9.640,30.271,624.451
9.431,9.641,30.275,625.122
9.368,9.641,30.278,625.765
9.320,9.641,30.281,626.331
9.286,9.641,30.282,626.779
9.265,9.641,30.283,627.073
9.258,9.641,30.283,627.195
9.264,9.641,30.282,627.148
9.286,9.641,30.282,626.945
9.321,9.641,30.282,626.608
9.372,9.641,30.282,626.184
9.440,9.641,30.281,625.714
9.526,9.641,30.280,625.231
9.623,9.641,30.279,624.784
9.721,9.641,30.278,624.424
9.811,9.641,30.278,624.177
9.891,9.640,30.278,624.044
9.962,9.640,30.278,624.010
10.025,9.640,30.277,624.054
10.082,9.640,30.274,624.154
10.133,9.640,30.272,624.295
10.177,9.640,30.269,624.458
10.213,9.639,30.267,624.617
10.238,9.639,30.264,624.738
10.251,9.639,30.261,624.775
10.250,9.638,30.257,624.689
10.238,9.638,30.253,624.490
10.214,9.638,30.249,624.243
10.179,9.638,30.246,624.021
10.137,9.638,30.244,623.876
10.091,9.638,30.243,623.828
10.041,9.638,30.244,623.875
9.992,9.638,30.246,623.996
9.944,9.639,30.249,624.172
9.896,9.639,30.253,624.391
9.846,9.639,30.258,624.631
9.792,9.639,30.262,624.837
9.735,9.640,30.266,624.958
9.672,9.640,30.267,624.985
9.602,9.640,30.267,624.933
9.526,9.640,30.264,624.807
9.450,9.639,30.259,624.590
9.385,9.639,30.253,624.263
9.342,9.639,30.247,623.847
9.331,9.638,30.240,623.403
