ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered
6.743,9.660,28.900,232.754
7.216,9.659,28.900,231.502
7.642,9.658,28.900,230.320
7.995,9.657,28.900,229.274
8.260,9.656,28.900,228.407
8.431,9.656,28.900,227.739
8.510,9.655,28.900,227.266
8.509,9.655,28.900,226.961
8.445,9.655,28.900,226.775
8.339,9.655,28.900,226.656
8.209,9.655,28.900,226.565
8.076,9.655,28.900,226.485
7.955,9.655,28.900,226.415
7.848,9.654,28.900,226.361
7.750,9.654,28.900,226.328
7.657,9.654,28.900,226.313
7.566,9.654,28.900,226.304
7.480,9.654,28.900,226.294
7.403,9.654,28.900,226.277
7.339,9.654,28.900,226.251
7.295,9.655,28.900,226.215
7.275,9.655,28.900,226.167
7.283,9.655,28.900,226.115
7.322,9.655,28.900,226.067
7.388,9.655,28.900,226.032
7.479,9.655,28.900,226.021
7.588,9.655,28.900,226.044
7.711,9.655,28.900,226.109
7.845,9.655,28.900,226.218
7.988,9.655,28.900,226.362
8.132,9.655,28.900,226.524
8.271,9.654,28.900,226.688
8.397,9.654,28.900,226.834
8.505,9.654,28.900,226.951
8.591,9.654,28.900,227.034
8.651,9.654,28.900,227.082
8.680,9.654,28.900,227.093
8.674,9.655,28.900,227.064
8.632,9.655,28.900,227.001
8.561,9.655,28.900,226.918
8.472,9.655,28.900,226.829
8.382,9.655,28.900,226.739
8.306,9.655,28.900,226.644
8.256,9.655,28.900,226.540
8.239,9.655,28.900,226.431
8.245,9.655,28.900,226.326
8.262,9.654,28.900,226.236
8.279,9.654,28.900,226.167
8.287,9.654,28.900,226.123
8.283,9.654,28.900,226.104
8.260,9.654,28.900,226.108
8.218,9.654,28.900,226.127
8.159,9.654,28.900,226.152
8.093,9.654,28.900,226.178
8.029,9.654,28.900,226.199
7.967,9.654,28.900,226.222
7.902,9.654,28.900,226.254
7.831,9.654,28.900,226.300
7.755,9.654,28.900,226.361
7.678,9.654,28.900,226.434
7.607,9.654,28.900,226.515
7.546,9.654,28.900,226.600
7.502,9.654,28.900,226.687
7.477,9.654,28.900,226.769
7.473,9.654,28.900,226.843
7.492,9.654,28.900,226.903
7.540,9.654,28.900,226.942
7.622,9.654,28.900,226.955
7.735,9.654,28.900,226.948
7.870,9.654,28.900,226.938
8.007,9.655,28.900,226.944
8.124,9.655,28.900,226.981
8.207,9.655,28.900,227.048
8.255,9.655,28.900,227.129
8.274,9.655,28.900,227.199
8.271,9.655,28.900,227.237
8.247,9.655,28.900,227.227
8.198,9.655,28.900,227.164
8.125,9.655,28.900,227.064
8.037,9.655,28.900,226.947
7.951,9.655,28.900,226.832
7.884,9.655,28.900,226.719
7.848,9.654,28.900,226.606
7.851,9.654,28.900,226.487
7.892,9.654,28.900,226.355
7.964,9.653,28.900,226.209
8.055,9.653,28.900,226.053
8.149,9.652,28.900,225.900
8.235,9.652,28.900,225.767
8.298,9.652,28.900,225.668
8.332,9.652,28.900,225.614
8.333,9.652,28.900,225.609
8.302,9.652,28.900,225.649
8.244,9.652,28.900,225.723
8.162,9.652,28.900,225.816
8.060,9.653,28.900,225.915
7.952,9.654,28.900,226.012
7.850,9.655,28.900,226.107
7.768,9.655,28.900,226.213
7.708,9.656,28.900,226.349
7.667,9.656,28.900,226.531
7.640,9.657,28.900,226.758
7.631,9.657,28.900,227.008
7.645,9.657,28.900,227.249
7.684,9.656,28.900,227.448
7.750,9.656,28.900,227.584
7.843,9.656,28.900,227.649
7.959,9.656,28.900,227.643
8.084,9.655,28.900,227.572
8.203,9.655,28.900,227.454
8.299,9.655,28.900,227.322
8.370,9.655,28.900,227.205
8.423,9.656,28.900,227.117
8.468,9.656,28.900,227.063
