ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered
12.426,9.600,28.902,427.912
12.173,9.600,28.911,427.326
11.932,9.601,28.919,426.565
11.716,9.602,28.925,425.698
11.542,9.602,28.929,424.737
11.420,9.602,28.931,423.585
11.338,9.603,28.932,422.072
11.273,9.603,28.932,420.075
11.200,9.604,28.933,417.556
11.109,9.604,28.933,414.558
10.998,9.605,28.934,411.251
10.874,9.606,28.934,408.003
10.751,9.607,28.935,405.262
10.634,9.607,28.936,403.112
10.517,9.608,28.937,400.981
10.386,9.609,28.938,397.970
10.239,9.610,28.939,393.342
10.083,9.612,28.940,386.776
9.927,9.615,28.942,378.543
9.780,9.617,28.943,369.589
9.660,9.620,28.943,361.376
9.587,9.622,28.943,355.417
9.573,9.622,28.941,352.802
9.622,9.622,28.940,353.867
9.721,9.621,28.937,357.879
9.842,9.619,28.936,363.204
9.961,9.618,28.935,368.135
10.069,9.617,28.934,371.560
10.171,9.616,28.935,373.107
10.282,9.616,28.936,373.130
10.413,9.617,28.938,372.523
10.570,9.617,28.939,372.168
10.748,9.616,28.940,372.574
10.937,9.616,28.940,374.028
11.122,9.615,28.941,376.563
11.281,9.614,28.941,379.746
11.392,9.613,28.942,382.978
11.439,9.612,28.942,385.953
11.425,9.612,28.943,388.781
11.363,9.611,28.943,391.952
11.275,9.610,28.943,396.140
11.181,9.609,28.943,401.684
11.086,9.607,28.943,408.239
10.984,9.606,28.943,415.115
10.873,9.604,28.941,421.728
10.757,9.602,28.940,427.673
10.646,9.601,28.938,432.691
10.550,9.599,28.935,436.710
10.479,9.598,28.933,439.784
10.452,9.598,28.931,441.955
10.491,9.597,28.929,443.200
10.608,9.597,28.927,443.509
10.802,9.597,28.927,442.965
11.052,9.597,28.927,441.730
11.324,9.598,28.927,439.944
11.583,9.598,28.929,437.632
11.799,9.599,28.930,434.717
11.945,9.600,28.931,431.058
12.001,9.601,28.932,426.445
11.952,9.603,28.932,420.595
11.791,9.605,28.933,413.197
11.516,9.607,28.934,403.984
11.139,9.610,28.936,392.801
10.682,9.614,28.940,379.695
10.182,9.618,28.946,365.081
9.692,9.623,28.952,349.981
9.272,9.627,28.958,336.075
8.969,9.631,28.963,325.154
8.803,9.633,28.967,318.362
8.771,9.634,28.969,316.113
8.860,9.633,28.970,318.329
9.045,9.632,28.971,324.278
9.298,9.629,28.972,332.675
9.603,9.627,28.973,342.399
9.954,9.624,28.975,352.848
10.333,9.621,28.977,363.480
10.708,9.618,28.978,373.435
11.041,9.615,28.978,381.841
11.307,9.613,28.977,388.251
11.494,9.611,28.974,392.719
11.604,9.610,28.970,395.691
11.653,9.609,28.965,397.943
11.662,9.608,28.959,400.377
11.647,9.607,28.952,403.521
11.610,9.606,28.945,407.180
11.547,9.605,28.939,410.728
11.462,9.604,28.933,413.553
11.367,9.603,28.929,415.217
11.280,9.603,28.926,415.518
11.216,9.603,28.924,414.542
11.186,9.604,28.923,412.684
11.204,9.604,28.924,410.629
11.279,9.605,28.925,409.191
11.408,9.605,28.927,408.822
11.567,9.605,28.930,409.276
11.722,9.604,28.933,409.897
11.841,9.605,28.938,410.042
11.905,9.605,28.942,409.192
11.899,9.606,28.946,406.949
11.822,9.607,28.950,403.053
11.678,9.609,28.952,397.419
11.482,9.612,28.954,390.200
11.252,9.615,28.956,381.895
11.009,9.617,28.958,373.294
10.764,9.620,28.960,365.048
10.522,9.623,28.961,357.381
10.287,9.625,28.962,350.461
10.081,9.626,28.963,344.941
9.945,9.627,28.962,342.016
9.919,9.627,28.961,342.835
10.021,9.625,28.960,347.744
10.243,9.622,28.958,356.177
10.556,9.618,28.957,366.975
10.917,9.615,28.956,378.665
11.277,9.611,28.956,389.843
11.592,9.608,28.957,399.486
11.831,9.606,28.958,406.950
11.976,9.605,28.959,411.856
12.016,9.604,28.960,414.023
11.950,9.605,28.960,413.420
11.784,9.606,28.960,410.134
11.533,9.608,28.959,404.386
11.219,9.610,28.957,396.556
10.877,9.613,28.956,387.257
10.544,9.616,28.956,377.474
10.259,9.619,28.955,368.616
10.045,9.620,28.955,362.130
9.910,9.621,28.953,358.997
9.848,9.621,28.951,359.418
9.835,9.619,28.947,362.643
9.834,9.618,28.944,367.234
9.817,9.616,28.940,371.758
9.775,9.615,28.937,375.242
9.718,9.614,28.934,377.265
9.649,9.614,28.931,377.979
9.579,9.614,28.930,378.144
9.522,9.614,28.928,378.981
9.498,9.613,28.927,381.662
9.519,9.612,28.926,386.747
9.596,9.610,28.925,393.951
9.733,9.607,28.924,402.300
9.930,9.605,28.923,410.661
10.176,9.603,28.923,418.205
10.449,9.601,28.923,424.449
10.722,9.599,28.923,429.144
10.973,9.598,28.923,432.206
11.182,9.598,28.924,433.679
11.338,9.598,28.925,433.680
11.434,9.598,28.926,432.357
11.469,9.599,28.927,429.900
11.443,9.601,28.928,426.570
11.356,9.602,28.930,422.708
11.215,9.603,28.932,418.732
11.035,9.605,28.934,415.129
10.846,9.606,28.936,412.485
10.679,9.606,28.938,411.421
10.558,9.606,28.939,412.197
10.489,9.605,28.939,414.382
10.463,9.604,28.939,417.186
10.471,9.603,28.939,419.933
10.503,9.602,28.938,422.144
10.561,9.602,28.938,423.495
10.649,9.602,28.938,423.810
10.763,9.602,28.940,422.963
10.885,9.603,28.943,420.866
10.985,9.604,28.946,417.567
11.033,9.605,28.949,413.266
11.014,9.607,28.952,408.270
10.930,9.609,28.954,403.007
10.798,9.611,28.955,398.106
10.644,9.612,28.954,394.313
10.493,9.613,28.952,392.042
10.363,9.613,28.949,391.073
10.263,9.612,28.945,390.968
10.201,9.612,28.941,391.624
10.188,9.611,28.937,393.231
10.232,9.610,28.933,395.698
10.324,9.609,28.930,398.297
10.446,9.608,28.929,400.046
10.577,9.608,28.930,400.283
10.691,9.609,28.932,398.830
10.769,9.610,28.937,395.866
10.810,9.611,28.942,391.854
10.826,9.612,28.948,387.606
10.834,9.613,28.954,384.202
10.845,9.614,28.958,382.503
10.859,9.614,28.960,382.804
10.873,9.613,28.960,384.990
10.881,9.612,28.959,388.547
10.868,9.611,28.956,392.389
10.822,9.610,28.953,395.174
10.738,9.610,28.950,395.814
10.620,9.611,28.948,393.673
10.476,9.613,28.947,388.609
10.318,9.615,28.947,381.026
10.160,9.618,28.949,371.894
10.016,9.620,28.951,362.759
9.905,9.622,28.953,355.599
9.850,9.623,28.954,352.222
9.861,9.623,28.953,353.507
9.930,9.621,28.952,359.267
10.040,9.618,28.950,368.565
10.173,9.614,28.949,379.980
10.317,9.611,28.949,392.014
10.465,9.607,28.950,403.504
10.611,9.605,28.952,413.689
10.756,9.603,28.956,422.099
10.904,9.601,28.961,428.490
11.066,9.600,28.966,432.824
11.251,9.600,28.971,435.244
11.455,9.600,28.975,436.058
11.664,9.601,28.978,435.698
11.856,9.601,28.979,434.607
12.014,9.602,28.979,433.170
12.123,9.602,28.976,431.724
12.176,9.602,28.971,430.556
12.168,9.602,28.964,429.876
12.100,9.601,28.956,429.812
11.978,9.601,28.947,430.403
11.813,9.600,28.939,431.590
11.623,9.599,28.933,433.214
11.434,9.598,28.930,435.010
11.278,9.598,28.928,436.617
11.182,9.597,28.929,437.610
11.156,9.597,28.932,437.605
11.187,9.597,28.936,436.368
11.250,9.598,28.942,433.806
11.321,9.599,28.947,429.886
11.375,9.601,28.952,424.642
11.386,9.603,28.958,418.251
11.329,9.605,28.962,411.013
11.191,9.608,28.966,403.316
10.970,9.610,28.969,395.673
10.680,9.613,28.970,388.802
10.353,9.614,28.969,383.701
10.033,9.615,28.966,381.554
9.770,9.615,28.962,383.130
9.593,9.613,28.957,388.038
9.503,9.611,28.952,394.856
9.482,9.608,28.947,402.067
9.511,9.606,28.942,408.649
9.581,9.604,28.939,414.075
9.695,9.603,28.936,418.117
9.861,9.602,28.935,420.649
10.081,9.602,28.936,421.574
10.336,9.603,28.938,420.892
10.592,9.604,28.942,418.740
10.821,9.605,28.946,415.364
