ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered
3.485,9.620,27.797,135.805
3.338,9.620,27.808,141.950
3.186,9.620,27.819,147.721
3.030,9.620,27.829,152.860
2.862,9.620,27.837,157.291
2.672,9.620,27.845,161.039
2.463,9.620,27.852,164.135
2.245,9.620,27.858,166.607
2.024,9.620,27.864,168.516
1.803,9.620,27.870,169.957
1.587,9.620,27.875,171.013
1.390,9.620,27.880,171.749
1.227,9.620,27.884,172.213
1.108,9.620,27.887,172.448
1.036,9.620,27.888,172.492
1.012,9.620,27.889,172.382
1.031,9.620,27.888,172.150
1.084,9.620,27.886,171.828
1.157,9.620,27.883,171.452
1.242,9.620,27.881,171.047
1.334,9.620,27.878,170.622
1.435,9.619,27.875,170.175
1.539,9.619,27.872,169.714
1.636,9.619,27.869,169.268
1.705,9.619,27.866,168.877
1.730,9.619,27.866,168.581
1.704,9.619,27.867,168.386
1.635,9.619,27.869,168.255
1.543,9.619,27.873,168.125
1.449,9.619,27.876,167.945
1.367,9.619,27.879,167.704
1.303,9.620,27.881,167.446
1.257,9.620,27.883,167.259
1.222,9.620,27.884,167.246
1.194,9.620,27.884,167.446
1.175,9.620,27.885,167.781
1.173,9.620,27.884,168.105
1.195,9.620,27.882,168.290
1.247,9.620,27.879,168.259
1.330,9.620,27.876,167.988
1.438,9.620,27.872,167.505
1.559,9.621,27.868,166.882
1.672,9.621,27.865,166.235
1.752,9.621,27.861,165.710
1.775,9.621,27.859,165.439
1.735,9.621,27.857,165.492
1.641,9.620,27.857,165.850
1.519,9.619,27.857,166.403
1.397,9.617,27.858,167.003
1.298,9.614,27.859,167.530
1.238,9.609,27.860,167.900
1.223,9.604,27.860,168.065
1.253,9.597,27.860,168.012
1.319,9.589,27.859,167.763
1.407,9.579,27.859,167.358
1.495,9.570,27.857,166.863
1.558,9.561,27.856,166.384
1.571,9.554,27.856,166.048
1.526,9.552,27.857,165.972
1.430,9.554,27.858,166.191
1.304,9.561,27.861,166.641
1.170,9.569,27.863,167.207
1.043,9.579,27.864,167.776
0.933,9.588,27.864,168.254
0.845,9.596,27.863,168.576
0.780,9.603,27.861,168.715
0.739,9.608,27.857,168.675
0.723,9.612,27.854,168.491
0.729,9.616,27.852,168.214
0.754,9.618,27.852,167.910
0.790,9.619,27.854,167.652
0.828,9.620,27.858,167.524
0.859,9.621,27.863,167.607
0.879,9.621,27.869,167.925
0.890,9.622,27.875,168.409
0.902,9.622,27.881,168.934
0.921,9.621,27.886,169.392
0.955,9.621,27.889,169.711
1.008,9.621,27.891,169.851
1.083,9.621,27.891,169.796
1.178,9.621,27.891,169.558
1.288,9.620,27.889,169.186
1.398,9.620,27.886,168.769
1.492,9.620,27.882,168.415
1.563,9.620,27.879,168.187
1.614,9.620,27.875,168.063
1.656,9.620,27.871,167.983
1.699,9.619,27.867,167.900
1.757,9.619,27.863,167.772
1.837,9.619,27.859,167.570
1.942,9.619,27.855,167.284
2.061,9.619,27.852,166.941
2.172,9.618,27.851,166.596
2.250,9.618,27.850,166.335
2.276,9.618,27.851,166.241
2.252,9.618,27.852,166.323
2.198,9.618,27.853,166.493
2.143,9.618,27.854,166.632
2.104,9.618,27.854,166.665
2.086,9.618,27.854,166.570
2.090,9.618,27.852,166.357
2.113,9.618,27.849,166.043
2.150,9.617,27.845,165.659
2.196,9.618,27.842,165.259
2.246,9.618,27.840,164.935
2.296,9.618,27.839,164.791
2.338,9.618,27.839,164.888
2.362,9.619,27.841,165.200
2.358,9.619,27.844,165.655
2.322,9.619,27.848,166.168
2.262,9.620,27.852,166.652
2.192,9.620,27.856,167.025
2.122,9.620,27.860,167.235
2.052,9.620,27.862,167.280
1.978,9.620,27.864,167.205
1.895,9.620,27.864,167.092
1.797,9.620,27.864,167.047
1.686,9.620,27.862,167.140
1.577,9.619,27.859,167.354
1.486,9.619,27.855,167.626
1.424,9.619,27.852,167.916
1.388,9.618,27.848,168.216
1.369,9.618,27.845,168.544
1.351,9.618,27.844,168.922
1.318,9.618,27.845,169.365
1.262,9.618,27.848,169.863
1.190,9.618,27.853,170.386
1.114,9.618,27.860,170.898
1.043,9.619,27.867,171.362
0.983,9.619,27.873,171.741
0.936,9.619,27.879,171.999
0.904,9.619,27.884,172.121
0.889,9.619,27.887,172.113
0.892,9.619,27.889,172.001
0.914,9.619,27.889,171.819
0.955,9.619,27.888,171.597
1.008,9.619,27.887,171.360
1.065,9.619,27.885,171.128
1.117,9.619,27.883,170.916
1.157,9.619,27.881,170.730
1.187,9.619,27.881,170.561
1.213,9.619,27.881,170.384
1.242,9.619,27.881,170.165
1.279,9.619,27.880,169.883
1.322,9.619,27.879,169.537
1.367,9.619,27.878,169.163
1.400,9.619,27.876,168.835
1.407,9.619,27.873,168.649
1.380,9.618,27.870,168.662
1.319,9.618,27.867,168.856
1.238,9.617,27.864,169.171
1.146,9.617,27.861,169.549
1.054,9.616,27.859,169.945
0.970,9.616,27.858,170.330
0.899,9.616,27.857,170.688
0.843,9.616,27.857,171.012
0.804,9.616,27.859,171.293
0.782,9.616,27.862,171.516
0.778,9.617,27.865,171.659
0.789,9.617,27.869,171.700
0.814,9.618,27.874,171.625
0.851,9.618,27.878,171.424
0.902,9.619,27.882,171.100
0.964,9.619,27.884,170.676
1.036,9.619,27.886,170.197
1.111,9.620,27.888,169.724
1.175,9.620,27.889,169.339
1.213,9.620,27.890,169.127
1.215,9.620,27.891,169.130
1.189,9.620,27.893,169.314
1.147,9.620,27.894,169.605
1.101,9.620,27.895,169.941
1.059,9.620,27.896,170.284
1.025,9.620,27.896,170.612
1.001,9.620,27.895,170.903
0.989,9.619,27.894,171.122
0.990,9.619,27.892,171.233
1.001,9.619,27.889,171.201
1.021,9.619,27.886,171.002
1.046,9.619,27.883,170.633
1.077,9.619,27.880,170.104
1.112,9.619,27.876,169.431
1.152,9.619,27.872,168.640
1.192,9.619,27.868,167.784
1.227,9.619,27.864,166.941
1.253,9.619,27.860,166.190
1.277,9.619,27.857,165.590
1.303,9.619,27.854,165.208
1.332,9.619,27.853,165.122
1.362,9.619,27.854,165.356
1.392,9.619,27.856,165.836
1.423,9.619,27.859,166.435
1.448,9.620,27.862,167.052
1.463,9.620,27.866,167.636
1.468,9.620,27.871,168.174
1.461,9.620,27.874,168.687
1.438,9.620,27.878,169.228
1.397,9.620,27.882,169.829
1.343,9.620,27.885,170.462
1.287,9.620,27.888,171.055
1.235,9.620,27.889,171.547
1.192,9.620,27.890,171.903
1.158,9.620,27.891,172.119
1.131,9.620,27.891,172.217
1.104,9.620,27.891,172.233
1.071,9.620,27.890,172.208
1.029,9.620,27.891,172.175
0.982,9.620,27.891,172.147
0.939,9.620,27.891,172.122
0.909,9.620,27.891,172.099
0.896,9.619,27.890,172.079
0.905,9.619,27.889,172.052
0.935,9.619,27.887,172.003
0.984,9.619,27.885,171.919
1.049,9.619,27.882,171.809
1.127,9.619,27.880,171.684
1.218,9.618,27.877,171.549
1.319,9.618,27.874,171.401
1.424,9.618,27.871,171.241
1.521,9.618,27.869,171.076
1.600,9.618,27.866,170.904
1.657,9.618,27.864,170.711
1.692,9.618,27.862,170.480
1.715,9.618,27.861,170.197
1.729,9.618,27.860,169.859
1.735,9.618,27.860,169.467
1.737,9.619,27.859,169.004
1.741,9.619,27.858,168.443
1.752,9.619,27.857,167.770
1.773,9.619,27.855,167.008
1.802,9.619,27.852,166.210
1.838,9.619,27.848,165.448
1.877,9.619,27.845,164.817
1.915,9.619,27.842,164.425
1.950,9.619,27.839,164.321
1.983,9.618,27.838,164.465
2.009,9.618,27.838,164.775
2.016,9.618,27.841,165.179
2.001,9.618,27.844,165.615
1.968,9.618,27.849,166.037
1.931,9.618,27.854,166.414
1.895,9.619,27.858,166.731
1.868,9.619,27.863,166.987
1.854,9.619,27.866,167.198
1.853,9.619,27.868,167.400
1.859,9.620,27.870,167.650
1.863,9.620,27.870,167.971
1.865,9.620,27.870,168.320
1.870,9.620,27.869,168.634
1.875,9.620,27.868,168.876
1.876,9.620,27.866,169.040
1.872,9.620,27.865,169.139
1.853,9.620,27.864,169.203
1.812,9.620,27.864,169.275
1.737,9.620,27.865,169.395
1.625,9.620,27.868,169.580
1.483,9.620,27.871,169.820
1.328,9.620,27.875,170.079
1.177,9.620,27.878,170.323
1.044,9.619,27.881,170.524
0.939,9.619,27.882,170.662
0.863,9.619,27.883,170.721
0.820,9.619,27.883,170.699
0.811,9.619,27.882,170.610
0.838,9.619,27.881,170.482
0.900,9.619,27.880,170.345
0.991,9.619,27.878,170.214
1.098,9.619,27.876,170.100
1.205,9.620,27.875,170.013
1.299,9.620,27.874,169.965
1.371,9.620,27.873,169.956
1.416,9.620,27.873,169.992
1.425,9.620,27.873,170.092
1.393,9.620,27.875,170.283
1.326,9.620,27.878,170.569
1.240,9.620,27.881,170.928
1.150,9.620,27.885,171.316
1.068,9.620,27.887,171.696
1.002,9.620,27.889,172.035
0.955,9.619,27.890,172.301
0.929,9.619,27.890,172.466
0.927,9.619,27.888,172.504
0.951,9.619,27.885,172.397
1.000,9.618,27.882,172.133
1.075,9.618,27.878,171.711
1.175,9.618,27.874,171.138
1.297,9.618,27.871,170.425
1.437,9.618,27.867,169.597
1.586,9.618,27.863,168.687
1.736,9.618,27.860,167.746
1.876,9.618,27.857,166.841
2.001,9.618,27.854,166.018
2.111,9.618,27.852,165.267
2.210,9.619,27.850,164.563
2.290,9.619,27.849,163.922
2.337,9.619,27.849,163.418
2.336,9.619,27.850,163.170
2.277,9.620,27.851,163.293
2.165,9.620,27.853,163.806
2.018,9.620,27.855,164.613
1.858,9.620,27.857,165.580
1.704,9.620,27.860,166.589
1.572,9.620,27.862,167.546
1.472,9.620,27.864,168.377
1.408,9.620,27.866,169.029
1.375,9.619,27.866,169.477
1.361,9.619,27.866,169.727
1.358,9.619,27.866,169.799
1.363,9.619,27.866,169.713
1.379,9.619,27.865,169.489
1.403,9.619,27.864,169.155
1.434,9.619,27.864,168.726
1.476,9.619,27.862,168.210
1.528,9.619,27.860,167.621
1.584,9.619,27.857,167.008
1.631,9.619,27.853,166.460
1.649,9.619,27.849,166.096
1.627,9.619,27.847,166.000
1.567,9.619,27.846,166.167
1.484,9.619,27.847,166.536
1.392,9.619,27.850,167.029
1.307,9.619,27.855,167.554
1.242,9.619,27.860,168.013
1.201,9.619,27.865,168.331
1.184,9.619,27.869,168.465
1.192,9.619,27.872,168.406
1.230,9.619,27.875,168.173
1.303,9.619,27.876,167.802
1.406,9.619,27.876,167.360
1.528,9.619,27.874,166.947
1.648,9.619,27.871,166.680
1.751,9.619,27.868,166.616
1.831,9.619,27.864,166.724
1.890,9.619,27.860,166.931
1.931,9.619,27.857,167.177
1.957,9.619,27.854,167.421
1.976,9.619,27.852,167.640
1.997,9.619,27.851,167.819
2.022,9.619,27.851,167.943
2.046,9.619,27.852,167.992
2.064,9.620,27.854,167.950
2.067,9.620,27.856,167.828
2.046,9.620,27.859,167.668
1.998,9.620,27.862,167.525
1.924,9.620,27.865,167.462
1.822,9.620,27.867,167.551
1.697,9.619,27.868,167.828
1.563,9.619,27.867,168.249
1.437,9.618,27.864,168.734
1.335,9.617,27.858,169.219
1.258,9.616,27.851,169.666
1.202,9.615,27.841,170.063
1.158,9.614,27.829,170.416
1.119,9.612,27.816,170.734
1.087,9.610,27.801,171.014
