ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered
9.100,9.658,29.603,379.120
9.073,9.656,29.591,382.285
9.047,9.653,29.579,385.953
9.024,9.651,29.569,390.606
9.007,9.648,29.560,396.214
8.997,9.646,29.553,402.414
8.991,9.643,29.546,408.771
8.990,9.641,29.542,414.653
8.991,9.639,29.538,419.052
8.993,9.639,29.536,420.769
8.994,9.639,29.534,418.836
8.995,9.641,29.531,412.888
8.995,9.644,29.528,403.421
8.995,9.648,29.524,391.730
8.993,9.651,29.521,379.363
8.992,9.655,29.518,367.530
8.990,9.659,29.517,357.005
8.987,9.662,29.516,348.275
8.984,9.664,29.517,341.580
8.981,9.666,29.519,336.860
8.977,9.667,29.522,333.745
8.974,9.668,29.525,331.626
8.970,9.668,29.527,329.861
8.968,9.669,29.529,328.043
8.968,9.669,29.529,326.230
8.971,9.669,29.528,324.989
8.977,9.669,29.526,325.067
8.988,9.668,29.525,327.043
9.001,9.666,29.524,331.221
9.016,9.664,29.524,337.605
9.031,9.661,29.525,345.878
9.045,9.659,29.528,355.454
9.056,9.656,29.531,365.636
9.062,9.653,29.534,375.790
9.061,9.651,29.538,385.316
9.054,9.649,29.541,393.379
9.042,9.647,29.544,398.785
9.027,9.647,29.546,400.366
9.013,9.648,29.545,397.637
9.001,9.650,29.543,391.171
8.995,9.652,29.539,382.268
8.995,9.655,29.536,372.285
9.003,9.658,29.532,362.297
9.014,9.660,29.529,353.163
9.028,9.662,29.527,345.504
9.041,9.664,29.526,339.556
9.050,9.666,29.526,335.252
9.055,9.667,29.526,332.591
9.054,9.667,29.526,331.834
9.047,9.667,29.528,333.344
9.036,9.666,29.530,337.369
9.023,9.665,29.533,343.936
9.009,9.662,29.537,352.755
8.996,9.660,29.542,363.282
8.984,9.657,29.547,375.064
8.974,9.653,29.552,387.926
8.966,9.650,29.556,401.668
8.961,9.646,29.561,415.891
8.958,9.642,29.565,430.087
8.957,9.638,29.569,443.486
8.957,9.635,29.573,454.893
8.958,9.633,29.575,462.974
8.959,9.632,29.576,466.887
8.961,9.631,29.576,466.649
8.965,9.632,29.574,463.000
8.970,9.633,29.571,457.095
8.977,9.635,29.568,450.240
8.983,9.636,29.564,443.606
8.987,9.637,29.560,437.989
8.988,9.638,29.558,433.647
8.985,9.639,29.555,430.132
8.978,9.639,29.553,426.481
8.969,9.640,29.551,421.858
8.958,9.642,29.549,415.933
8.947,9.644,29.546,408.731
8.940,9.646,29.544,400.396
8.939,9.649,29.542,391.180
8.946,9.652,29.540,381.545
8.960,9.655,29.538,372.197
8.981,9.657,29.537,363.974
9.003,9.659,29.537,357.515
9.023,9.660,29.537,352.966
9.039,9.661,29.538,349.973
9.048,9.661,29.539,347.904
9.052,9.662,29.539,346.258
9.048,9.662,29.540,344.848
9.039,9.662,29.540,343.554
9.025,9.663,29.540,342.222
9.008,9.663,29.540,340.878
8.991,9.663,29.540,339.734
8.977,9.664,29.541,338.948
8.967,9.664,29.541,338.534
8.961,9.664,29.541,338.566
8.958,9.664,29.542,339.322
8.957,9.664,29.542,341.108
8.959,9.663,29.541,344.069
8.965,9.662,29.542,348.252
8.973,9.661,29.543,353.599
8.982,9.659,29.545,359.811
8.990,9.658,29.547,366.478
8.996,9.656,29.550,373.452
8.998,9.653,29.553,381.033
8.997,9.651,29.557,389.792
8.993,9.648,29.560,400.181
8.986,9.645,29.564,412.269
8.976,9.641,29.568,425.656
8.964,9.637,29.572,439.522
8.953,9.633,29.576,452.907
8.941,9.630,29.581,464.908
8.928,9.628,29.585,474.506
8.915,9.626,29.589,480.481
8.905,9.626,29.591,481.620
8.900,9.627,29.590,477.133
8.903,9.630,29.586,467.357
8.913,9.633,29.579,454.154
8.927,9.637,29.572,440.140
8.944,9.640,29.565,427.422
8.961,9.643,29.559,417.021
8.978,9.645,29.555,408.983
8.993,9.646,29.552,402.847
9.009,9.647,29.549,398.238
9.023,9.648,29.547,395.078
9.037,9.648,29.546,393.284
9.049,9.648,29.545,392.438
9.060,9.649,29.545,391.796
9.071,9.649,29.545,390.619
9.082,9.650,29.546,388.649
9.093,9.651,29.547,386.196
9.100,9.652,29.548,383.746
9.102,9.653,29.549,381.526
9.097,9.654,29.549,379.520
9.085,9.655,29.550,377.940
9.065,9.655,29.550,377.500
9.039,9.655,29.550,379.024
9.006,9.654,29.550,382.929
8.971,9.653,29.551,389.024
8.938,9.651,29.551,396.476
8.911,9.649,29.551,403.898
8.891,9.647,29.551,409.824
8.878,9.646,29.549,413.426
8.868,9.646,29.547,414.695
8.863,9.646,29.546,413.938
8.860,9.647,29.544,411.356
8.860,9.648,29.544,407.149
8.862,9.649,29.544,401.816
8.866,9.651,29.544,396.067
8.869,9.652,29.544,390.401
8.873,9.653,29.543,385.116
8.875,9.654,29.542,380.647
8.879,9.654,29.540,377.466
8.885,9.655,29.539,375.694
8.892,9.654,29.538,374.940
8.900,9.654,29.538,374.542
8.911,9.654,29.539,374.051
8.924,9.654,29.541,373.368
8.941,9.655,29.544,372.375
8.959,9.655,29.547,370.703
8.977,9.656,29.551,367.964
8.994,9.658,29.554,364.183
9.008,9.659,29.556,359.927
9.020,9.661,29.558,355.996
9.026,9.661,29.560,353.015
9.028,9.662,29.561,351.186
9.024,9.662,29.562,350.213
9.016,9.663,29.562,349.487
9.005,9.663,29.560,348.594
8.993,9.663,29.558,347.683
8.982,9.663,29.555,347.254
8.973,9.663,29.552,347.667
8.967,9.662,29.548,348.923
8.963,9.662,29.546,350.837
8.961,9.661,29.543,353.387
8.960,9.661,29.542,356.762
8.957,9.659,29.542,360.990
8.954,9.658,29.544,365.633
8.949,9.657,29.546,369.913
8.943,9.657,29.549,373.253
8.935,9.656,29.553,375.637
8.925,9.656,29.555,377.416
8.915,9.655,29.556,379.075
8.906,9.655,29.557,381.293
8.901,9.653,29.557,384.759
8.902,9.652,29.558,389.697
8.911,9.650,29.559,395.590
8.926,9.648,29.560,401.251
8.945,9.647,29.562,405.277
8.966,9.646,29.563,406.633
8.987,9.646,29.564,404.790
9.005,9.647,29.563,399.698
9.020,9.649,29.562,392.065
9.032,9.652,29.559,383.365
9.039,9.654,29.556,375.253
9.041,9.655,29.553,368.971
9.037,9.657,29.550,365.130
9.028,9.657,29.549,363.730
9.016,9.657,29.549,364.425
9.000,9.657,29.550,367.075
8.982,9.656,29.553,371.999
8.962,9.654,29.558,379.528
8.938,9.652,29.564,389.479
8.912,9.649,29.570,401.188
8.883,9.646,29.576,413.808
8.854,9.643,29.581,426.390
8.829,9.640,29.585,437.740
8.813,9.637,29.587,446.473
8.806,9.636,29.588,451.565
8.807,9.635,29.587,452.748
8.815,9.636,29.585,450.254
8.828,9.637,29.583,444.592
8.845,9.639,29.579,436.694
8.863,9.641,29.575,427.741
8.881,9.644,29.570,418.606
8.898,9.646,29.565,409.641
8.911,9.648,29.559,401.007
8.921,9.651,29.555,392.884
8.926,9.653,29.551,385.280
8.928,9.655,29.548,377.956
8.928,9.657,29.546,370.641
8.927,9.659,29.544,363.242
8.924,9.661,29.543,356.016
8.923,9.663,29.542,349.652
8.923,9.664,29.542,345.086
8.925,9.664,29.543,343.113
8.930,9.664,29.544,344.156
8.939,9.663,29.545,348.218
8.950,9.661,29.547,354.889
8.963,9.658,29.548,363.377
8.977,9.655,29.549,372.544
8.992,9.653,29.550,381.028
9.009,9.651,29.551,387.571
9.028,9.649,29.552,391.392
9.047,9.649,29.553,392.379
9.064,9.649,29.554,391.170
9.079,9.650,29.555,388.920
9.090,9.651,29.557,386.829
9.096,9.651,29.559,385.972
9.100,9.651,29.561,387.306
9.102,9.650,29.564,391.431
9.103,9.649,29.568,398.328
9.100,9.647,29.572,407.273
9.094,9.644,29.576,416.773
9.083,9.643,29.579,424.676
9.068,9.642,29.580,428.674
9.051,9.642,29.579,427.198
9.035,9.644,29.575,420.403
9.019,9.647,29.569,410.175
9.004,9.650,29.562,398.853
8.990,9.653,29.556,388.098
8.979,9.656,29.550,378.659
8.970,9.658,29.546,370.576
8.964,9.660,29.542,363.561
8.963,9.661,29.539,357.540
8.964,9.662,29.537,352.834
8.969,9.663,29.536,349.797
8.974,9.663,29.537,348.451
8.979,9.663,29.538,348.529
8.981,9.663,29.540,349.775
8.981,9.662,29.542,352.162
8.980,9.661,29.544,355.753
8.980,9.660,29.546,360.338
8.983,9.658,29.548,365.204
8.988,9.657,29.550,369.206
8.995,9.657,29.552,371.296
9.001,9.657,29.553,371.202
9.006,9.657,29.554,369.384
9.009,9.658,29.555,366.402
9.011,9.659,29.555,362.685
9.014,9.660,29.555,358.809
9.017,9.661,29.555,355.556
9.023,9.662,29.555,353.600
9.030,9.662,29.555,353.261
9.037,9.661,29.556,354.534
