ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered
6.350,9.380,29.400,1283.858
6.287,9.379,29.410,1289.077
6.215,9.378,29.419,1294.622
6.138,9.377,29.427,1300.312
6.061,9.376,29.435,1305.865
5.989,9.375,29.441,1311.013
5.920,9.374,29.446,1315.617
5.850,9.373,29.450,1319.638
5.773,9.373,29.454,1323.008
5.688,9.373,29.459,1325.546
5.592,9.373,29.464,1326.807
5.490,9.374,29.469,1325.965
5.396,9.376,29.477,1321.858
5.323,9.380,29.487,1313.211
5.281,9.385,29.501,1298.873
5.276,9.393,29.520,1277.986
5.311,9.403,29.545,1250.089
5.385,9.416,29.576,1215.306
5.492,9.430,29.613,1174.624
5.621,9.446,29.653,1130.146
5.761,9.462,29.694,1085.369
5.898,9.476,29.730,1045.676
6.012,9.486,29.754,1018.208
6.078,9.488,29.758,1009.471
6.080,9.483,29.743,1021.599
6.016,9.472,29.713,1051.091
5.901,9.457,29.676,1091.218
5.762,9.441,29.637,1135.274
5.629,9.425,29.600,1178.219
5.528,9.411,29.566,1216.884
5.470,9.400,29.536,1249.651
5.454,9.390,29.511,1276.032
5.467,9.382,29.490,1296.266
5.498,9.377,29.474,1310.950
5.535,9.373,29.462,1320.889
5.564,9.370,29.455,1327.124
5.570,9.369,29.451,1330.821
5.544,9.368,29.450,1332.969
5.488,9.368,29.451,1334.169
5.410,9.368,29.454,1334.636
5.324,9.368,29.458,1334.378
5.247,9.369,29.461,1333.409
5.193,9.370,29.464,1331.841
5.170,9.371,29.467,1329.848
5.182,9.372,29.470,1327.625
5.225,9.373,29.473,1325.355
5.295,9.374,29.476,1323.139
5.389,9.375,29.478,1320.997
5.502,9.376,29.479,1318.946
5.625,9.377,29.480,1317.022
5.749,9.377,29.479,1315.247
5.862,9.378,29.478,1313.704
5.948,9.378,29.477,1312.533
5.995,9.379,29.477,1311.759
6.000,9.379,29.476,1311.191
5.968,9.379,29.477,1310.533
5.910,9.379,29.478,1309.535
5.835,9.379,29.481,1307.954
5.761,9.380,29.485,1305.409
5.707,9.381,29.490,1301.429
5.684,9.383,29.496,1295.690
5.696,9.386,29.502,1288.213
5.733,9.388,29.508,1279.391
5.783,9.391,29.512,1269.979
5.835,9.394,29.514,1261.122
5.876,9.396,29.515,1254.393
5.898,9.397,29.512,1251.544
5.895,9.396,29.506,1253.437
5.873,9.394,29.497,1259.262
5.839,9.391,29.487,1267.324
5.798,9.388,29.478,1276.161
5.753,9.385,29.469,1284.782
5.710,9.382,29.463,1292.583
5.669,9.380,29.458,1299.314
5.633,9.378,29.455,1304.956
5.604,9.376,29.455,1309.559
5.583,9.375,29.456,1313.159
5.571,9.375,29.459,1315.815
5.568,9.375,29.463,1317.612
5.574,9.374,29.467,1318.577
5.591,9.375,29.471,1318.693
5.618,9.375,29.474,1318.070
5.653,9.375,29.477,1316.982
5.698,9.376,29.479,1315.742
5.753,9.376,29.480,1314.606
5.818,9.377,29.481,1313.739
5.887,9.377,29.482,1313.206
5.951,9.377,29.483,1313.005
6.003,9.377,29.484,1313.109
6.037,9.377,29.484,1313.490
6.047,9.377,29.483,1314.132
6.024,9.377,29.481,1315.082
5.956,9.376,29.477,1316.435
5.844,9.376,29.473,1318.177
5.705,9.375,29.468,1320.052
5.567,9.374,29.463,1321.657
5.456,9.374,29.459,1322.635
5.383,9.373,29.455,1322.801
5.351,9.373,29.453,1322.175
5.356,9.374,29.452,1320.943
5.388,9.374,29.452,1319.328
5.441,9.374,29.453,1317.461
5.508,9.375,29.456,1315.360
5.585,9.376,29.459,1312.911
5.670,9.377,29.464,1309.777
5.767,9.378,29.469,1305.329
5.884,9.380,29.477,1298.751
6.028,9.383,29.486,1289.303
6.195,9.388,29.497,1276.578
6.372,9.393,29.510,1260.578
6.537,9.400,29.526,1241.653
6.670,9.407,29.543,1220.478
6.750,9.415,29.561,1198.141
6.767,9.423,29.577,1176.385
6.723,9.430,29.589,1157.956
6.624,9.434,29.596,1146.196
6.485,9.435,29.597,1143.150
6.326,9.433,29.590,1148.293
6.164,9.429,29.579,1159.995
6.007,9.423,29.564,1177.216
5.859,9.416,29.547,1198.893
5.729,9.408,29.530,1222.887
5.626,9.400,29.514,1246.600
5.552,9.393,29.499,1268.088
5.503,9.387,29.486,1286.304
5.473,9.382,29.474,1300.822
5.459,9.378,29.464,1311.601
5.458,9.375,29.455,1318.935
5.463,9.373,29.448,1323.437
5.464,9.372,29.442,1325.907
5.450,9.371,29.440,1327.121
5.418,9.371,29.440,1327.658
5.376,9.371,29.443,1327.838
5.337,9.371,29.446,1327.727
5.315,9.372,29.450,1327.225
5.317,9.372,29.454,1326.215
5.345,9.373,29.457,1324.691
5.396,9.373,29.459,1322.755
5.467,9.374,29.459,1320.496
5.551,9.375,29.457,1317.960
5.639,9.376,29.454,1315.248
5.720,9.377,29.451,1312.548
5.785,9.377,29.448,1310.093
5.828,9.378,29.445,1308.144
5.845,9.378,29.444,1306.939
5.833,9.378,29.444,1306.611
5.794,9.378,29.444,1307.127
5.736,9.377,29.445,1308.281
5.667,9.377,29.447,1309.771
5.598,9.376,29.449,1311.329
5.531,9.376,29.452,1312.806
5.468,9.376,29.454,1314.171
5.408,9.375,29.457,1315.414
5.357,9.375,29.460,1316.426
5.320,9.375,29.463,1317.000
5.307,9.376,29.465,1316.921
5.324,9.376,29.468,1316.045
5.376,9.377,29.469,1314.324
5.465,9.377,29.470,1311.863
5.584,9.378,29.469,1308.916
5.718,9.379,29.467,1305.785
5.856,9.379,29.465,1302.731
5.987,9.380,29.462,1299.994
6.105,9.380,29.460,1297.822
6.203,9.381,29.458,1296.397
6.276,9.381,29.456,1295.769
6.324,9.381,29.455,1295.883
6.347,9.380,29.453,1296.634
6.351,9.380,29.452,1297.916
6.336,9.379,29.450,1299.684
6.301,9.378,29.448,1301.955
6.244,9.377,29.447,1304.733
6.164,9.377,29.447,1307.933
6.062,9.376,29.447,1311.316
5.948,9.375,29.449,1314.433
5.838,9.374,29.452,1316.635
5.742,9.374,29.457,1317.236
5.659,9.375,29.462,1315.714
5.585,9.377,29.469,1311.734
5.517,9.380,29.479,1305.085
5.452,9.383,29.490,1295.719
5.387,9.388,29.504,1283.797
5.322,9.394,29.521,1269.682
5.261,9.400,29.539,1254.004
5.211,9.406,29.557,1237.812
5.176,9.412,29.574,1222.852
5.156,9.417,29.586,1211.878
5.142,9.419,29.590,1208.119
5.124,9.417,29.586,1213.214
5.098,9.412,29.576,1225.764
5.068,9.406,29.562,1242.602
5.042,9.400,29.547,1260.777
5.026,9.393,29.534,1278.186
5.024,9.388,29.522,1293.505
5.033,9.383,29.511,1306.075
5.049,9.379,29.502,1315.750
5.073,9.376,29.494,1322.690
5.103,9.374,29.487,1327.180
5.143,9.373,29.480,1329.595
5.191,9.372,29.473,1330.404
5.244,9.372,29.465,1330.073
5.305,9.372,29.458,1328.938
5.377,9.372,29.451,1327.185
5.463,9.372,29.445,1324.888
5.565,9.373,29.440,1322.052
5.682,9.373,29.437,1318.652
5.817,9.374,29.434,1314.627
5.968,9.376,29.434,1309.875
6.131,9.377,29.435,1304.335
6.292,9.379,29.438,1298.033
6.438,9.381,29.442,1290.982
6.557,9.384,29.447,1283.087
6.646,9.387,29.454,1274.153
6.708,9.390,29.461,1263.926
6.750,9.394,29.468,1252.181
6.781,9.399,29.475,1238.825
6.814,9.403,29.483,1224.068
6.859,9.408,29.489,1208.693
6.917,9.413,29.494,1194.342
6.975,9.416,29.497,1183.712
7.008,9.417,29.497,1179.992
6.991,9.416,29.493,1184.872
6.910,9.412,29.487,1197.150
6.763,9.406,29.480,1213.954
6.563,9.401,29.474,1232.613
